ticker,yahoo_symbol,status,reason,n_rows,first_date,last_date,expected_sessions,completeness,in_fincall,fincall_calls,in_maec,maec_calls
LRCX,LRCX,ok,,2035,2014-06-02,2022-06-29,2035,1.0,True,8,True,4
LSTR,LSTR,ok,,2035,2014-06-02,2022-06-29,2035,1.0,False,0,True,4
LTC,LTC,ok,,2035,2014-06-02,2022-06-29,2035,1.0,False,0,True,2
LUMN,LUMN,ok,,2035,2014-06-02,2022-06-29,2035,1.0,True,3,False,0
LUV,LUV,ok,,2035,2014-06-02,2022-06-29,2035,1.0,True,1,True,1
LVS,LVS,ok,,2035,2014-06-02,2022-06-29,2035,1.0,True,6,False,0
LXP,LXP,ok,,2035,2014-06-02,2022-06-29,2035,1.0,False,0,True,3
LXU,LXU,ok,,2035,2014-06-02,2022-06-29,2035,1.0,False,0,True,1
LYB,LYB,ok,,2035,2014-06-02,2022-06-29,2035,1.0,True,6,True,2
LYV,LYV,ok,,2035,2014-06-02,2022-06-29,2035,1.0,False,0,True,9
LZB,LZB,ok,,2035,2014-06-02,2022-06-29,2035,1.0,False,0,True,2
M,M,ok,,2035,2014-06-02,2022-06-29,2035,1.0,True,10,True,4
MA,MA,ok,,2035,2014-06-02,2022-06-29,2035,1.0,True,10,True,2
MAA,MAA,ok,,2035,2014-06-02,2022-06-29,2035,1.0,False,0,True,1
MAN,MAN,ok,,2035,2014-06-02,2022-06-29,2035,1.0,False,0,True,2
MANH,MANH,ok,,2035,2014-06-02,2022-06-29,2035,1.0,False,0,True,1
MANT,MANT,missing,no_data:delisted_renamed_or_unlisted_on_yahoo,0,,,0,0.0,False,0,True,1
MAR,MAR,ok,,2035,2014-06-02,2022-06-29,2035,1.0,False,0,True,1
MAS,MAS,ok,,2035,2014-06-02,2022-06-29,2035,1.0,True,10,True,3
MASI,MASI,ok,,2035,2014-06-02,2022-06-29,2035,1.0,False,0,True,4
MAT,MAT,ok,,2035,2014-06-02,2022-06-29,2035,1.0,True,8,True,4
MATW,MATW,ok,,2035,2014-06-02,2022-06-29,2035,1.0,False,0,True,5
MATX,MATX,ok,,2035,2014-06-02,2022-06-29,2035,1.0,False,0,True,1
MBFI,MBFI,missing,no_data:delisted_renamed_or_unlisted_on_yahoo,0,,,0,0.0,False,0,True,1
MCD,MCD,ok,,2035,2014-06-02,2022-06-29,2035,1.0,False,0,True,1
MCF,MCF,missing,no_data:delisted_renamed_or_unlisted_on_yahoo,0,,,0,0.0,False,0,True,4
MCK,MCK,ok,,2035,2014-06-02,2022-06-29,2035,1.0,True,7,True,2
MCO,MCO,ok,,2035,2014-06-02,2022-06-29,2035,1.0,True,10,True,1
MCY,MCY,ok,,2035,2014-06-02,2022-06-29,2035,1.0,False,0,True,5
MD,MD,ok,,2035,2014-06-02,2022-06-29,2035,1.0,False,0,True,3
MDC,MDC,missing,no_data:delisted_renamed_or_unlisted_on_yahoo,0,,,0,0.0,False,0,True,6
MDCO,MDCO,missing,no_data:delisted_renamed_or_unlisted_on_yahoo,0,,,0,0.0,False,0,True,6
MDLZ,MDLZ,ok,,2035,2014-06-02,2022-06-29,2035,1.0,True,7,True,2
MDP,MDP,missing,no_data:delisted_renamed_or_unlisted_on_yahoo,0,,,0,0.0,False,0,True,2
MDR,MDR,missing,no_data:delisted_renamed_or_unlisted_on_yahoo,0,,,0,0.0,False,0,True,5
MDRX,MDRX,ok,,2035,2014-06-02,2022-06-29,2035,1.0,False,0,True,2
MDSO,MDSO,missing,no_data:delisted_renamed_or_unlisted_on_yahoo,0,,,0,0.0,False,0,True,3
MDT,MDT,ok,,2035,2014-06-02,2022-06-29,2035,1.0,False,0,True,3
