call_id,ticker,date,split,horizon,y_true,y_pred,y_persistence
ADBE_2020_Q1_20200312,ADBE,2020-03-12,train,30,-2.8644859347978087,,-3.2892895293937303
ADBE_2020_Q2_20200611,ADBE,2020-06-11,train,30,-3.8082885882189976,,-4.061606308708659
ADBE_2020_Q3_20200915,ADBE,2020-09-15,val,30,-3.93343094114498,,-3.5253346665189365
ADBE_2020_Q4_20201210,ADBE,2020-12-10,val,30,-4.17201874273284,,-3.73326904023
ADBE_2021_Q1_20210323,ADBE,2021-03-23,val,30,-4.261511601183726,,-3.8933767657400966
ADBE_2021_Q2_20210617,ADBE,2021-06-17,train,30,-4.780608896609046,,-4.146803007406729
ADBE_2021_Q3_20210921,ADBE,2021-09-21,val,30,-4.087427563032664,,-4.530163137923713
ADBE_2021_Q4_20211216,ADBE,2021-12-16,val,30,-3.5605808739997133,,-3.5667352636416654
AEP_2018_Q4_20190124,AEP,2019-01-24,val,30,-4.921484639976242,,-4.33138737742883
AEP_2019_Q1_20190425,AEP,2019-04-25,train,30,-4.541524195727323,,-4.873678184358295
AEP_2019_Q2_20190725,AEP,2019-07-25,train,30,-4.598337352911586,,-4.803432013284644
AEP_2019_Q3_20191024,AEP,2019-10-24,train,30,-4.71539278461091,,-5.072488873065425
AEP_2019_Q4_20200220,AEP,2020-02-20,val,30,-2.9548456155322613,,-5.0090409317136695
AEP_2020_Q1_20200506,AEP,2020-05-06,val,30,-3.887058129133077,,-3.2582439171453563
AEP_2020_Q2_20200806,AEP,2020-08-06,val,30,-4.294697897788846,,-4.112686896526191
AEP_2020_Q3_20201022,AEP,2020-10-22,train,30,-4.357324316349645,,-4.52698688141179
AEP_2020_Q4_20210225,AEP,2021-02-25,train,30,-4.490259655158656,,-4.412217692904791
AEP_2021_Q1_20210422,AEP,2021-04-22,train,30,-4.786474339156978,,-4.735015679037355
AEP_2021_Q2_20210722,AEP,2021-07-22,val,30,-4.869918137173448,,-4.637998193925894
AEP_2021_Q3_20211028,AEP,2021-10-28,val,30,-4.554595773646559,,-4.632594665466589
APD_2019_Q1_20190125,APD,2019-01-25,train,30,-4.63910068599747,,-4.141628847486054
APD_2019_Q2_20190424,APD,2019-04-24,val,30,-4.248020431269547,,-5.181941508413864
APD_2019_Q3_20190725,APD,2019-07-25,val,30,-4.3738587557565705,,-4.881591323962272
APD_2019_Q4_20191107,APD,2019-11-07,train,30,-4.4408124764608985,,-4.214264445829461
APD_2020_Q1_20200124,APD,2020-01-24,train,30,-3.797799145345977,,-4.652855569926238
APD_2020_Q2_20200423,APD,2020-04-23,val,30,-4.054961414631877,,-2.8401904457207947
