dataset,split,target,horizon,segment,model,condition,n,r2_oos,mse
fincall,combined,har_resid,7,test,ridge_text_pastvol,within_shuffle,92,-0.013334738324186413,0.25817198286409576
fincall,combined,har_resid,7,test,ticker_only,real,92,5.551115123125783e-16,0.25477462984349125
fincall,combined,har_resid,15,test,mlp_pastvol,global_shuffle,92,0.03174808333875834,0.15362373763410955
fincall,combined,har_resid,15,test,mlp_pastvol,real,92,0.03174808333875834,0.15362373763410955
fincall,combined,har_resid,15,test,mlp_pastvol,within_shuffle,92,0.03174808333875834,0.15362373763410955
fincall,combined,har_resid,15,test,mlp_text,global_shuffle,92,-0.4737800554615479,0.23383129604464348
fincall,combined,har_resid,15,test,mlp_text,real,92,-0.6664475654547684,0.2644000999855409
fincall,combined,har_resid,15,test,mlp_text,within_shuffle,92,-0.65859976869919,0.2631549613506059
fincall,combined,har_resid,15,test,mlp_text_pastvol,global_shuffle,92,-0.6860499178218578,0.26751022720061224
fincall,combined,har_resid,15,test,mlp_text_pastvol,real,92,-0.6302964985820174,0.2586643385407271
fincall,combined,har_resid,15,test,mlp_text_pastvol,within_shuffle,92,-0.6567812337677166,0.2628664309295617
fincall,combined,har_resid,15,test,ridge_pastvol,global_shuffle,92,0.04007737350151053,0.15230220481333984
fincall,combined,har_resid,15,test,ridge_pastvol,real,92,0.04007737350151053,0.15230220481333984
fincall,combined,har_resid,15,test,ridge_pastvol,within_shuffle,92,0.04007737350151053,0.15230220481333984
fincall,combined,har_resid,15,test,ridge_text,global_shuffle,92,-0.087163323761841,0.1724903306062322
fincall,combined,har_resid,15,test,ridge_text,real,92,-0.030807341938819954,0.1635488388139454
fincall,combined,har_resid,15,test,ridge_text,within_shuffle,92,-0.02843912698634732,0.1631730956563441
fincall,combined,har_resid,15,test,ridge_text_pastvol,global_shuffle,92,-0.08871893453059387,0.17273714523834133
fincall,combined,har_resid,15,test,ridge_text_pastvol,real,92,-0.03088305874645836,0.16356085211212842
fincall,combined,har_resid,15,test,ridge_text_pastvol,within_shuffle,92,-0.028505546917249047,0.1631836339035326
fincall,combined,har_resid,15,test,ticker_only,real,92,-2.220446049250313e-16,0.15866091767093013
fincall,combined,har_resid,30,test,mlp_pastvol,global_shuffle,92,-0.144668175152872,0.14593085878375014
fincall,combined,har_resid,30,test,mlp_pastvol,real,92,-0.144668175152872,0.14593085878375014
fincall,combined,har_resid,30,test,mlp_pastvol,within_shuffle,92,-0.144668175152872,0.14593085878375014
fincall,combined,har_resid,30,test,mlp_text,global_shuffle,92,-0.8902555135412822,0.24098390817492438
fincall,combined,har_resid,30,test,mlp_text,real,92,-0.9361439435172729,0.24683410838140782
fincall,combined,har_resid,30,test,mlp_text,within_shuffle,92,-0.9313467421712645,0.24622252528040295
fincall,combined,har_resid,30,test,mlp_text_pastvol,global_shuffle,92,-1.2110318848815242,0.2818788787553417
fincall,combined,har_resid,30,test,mlp_text_pastvol,real,92,-1.0827938828985055,0.2655301393002635
fincall,combined,har_resid,30,test,mlp_text_pastvol,within_shuffle,92,-1.1358155770778273,0.272289741369854
fincall,combined,har_resid,30,test,ridge_pastvol,global_shuffle,92,0.003052542678982695,0.12709831702074045
fincall,combined,har_resid,30,test,ridge_pastvol,real,92,0.003052542678982695,0.12709831702074045
fincall,combined,har_resid,30,test,ridge_pastvol,within_shuffle,92,0.003052542678982695,0.12709831702074045
fincall,combined,har_resid,30,test,ridge_text,global_shuffle,92,-0.12134638118881691,0.14295762208910917
fincall,combined,har_resid,30,test,ridge_text,real,92,-0.017331257551092882,0.1296969963038908
fincall,combined,har_resid,30,test,ridge_text,within_shuffle,92,-0.02839284860347191,0.13110721064969696
fincall,combined,har_resid,30,test,ridge_text_pastvol,global_shuffle,92,-0.12833760085203805,0.1438489150520357
fincall,combined,har_resid,30,test,ridge_text_pastvol,real,92,-0.021836375555209786,0.13027134243627553
fincall,combined,har_resid,30,test,ridge_text_pastvol,within_shuffle,92,-0.03279185721165434,0.13166802916280312
fincall,combined,har_resid,30,test,ticker_only,real,92,-8.881784197001252e-16,0.12748747798833582
fincall,combined,v,3,test,mlp_pastvol,global_shuffle,92,0.3627594759957886,0.6824571938172879
fincall,combined,v,3,test,mlp_pastvol,real,92,0.3627594759957886,0.6824571938172879
fincall,combined,v,3,test,mlp_pastvol,within_shuffle,92,0.3627594759957886,0.6824571938172879
fincall,combined,v,3,test,mlp_text,global_shuffle,92,-0.21044743177843994,1.2963371387055695
fincall,combined,v,3,test,mlp_text,real,92,-0.6863593341615768,1.8060183174287483
fincall,combined,v,3,test,mlp_text,within_shuffle,92,-0.7118651428403491,1.833333941531839
fincall,combined,v,3,test,mlp_text_pastvol,global_shuffle,92,-0.3750063202019458,1.4725726306129483
fincall,combined,v,3,test,mlp_text_pastvol,real,92,-0.671977134527489,1.7906156001917406
fincall,combined,v,3,test,mlp_text_pastvol,within_shuffle,92,-0.689080066544207,1.8089321047932274
fincall,combined,v,3,test,ridge_pastvol,global_shuffle,92,0.24736862844290208,0.806035828644694
fincall,combined,v,3,test,ridge_pastvol,real,92,0.24736862844290208,0.806035828644694
fincall,combined,v,3,test,ridge_pastvol,within_shuffle,92,0.24736862844290208,0.806035828644694
fincall,combined,v,3,test,ridge_text,global_shuffle,92,0.24608907969835347,0.8074061703173641
fincall,combined,v,3,test,ridge_text,real,92,0.21552282330834727,0.8401413162719009
fincall,combined,v,3,test,ridge_text,within_shuffle,92,0.21465588535852642,0.8410697695295982
fincall,combined,v,3,test,ridge_text_pastvol,global_shuffle,92,0.2530965371739259,0.7999014847482123
fincall,combined,v,3,test,ridge_text_pastvol,real,92,0.2237033601363001,0.8313803131698967
fincall,combined,v,3,test,ridge_text_pastvol,within_shuffle,92,0.2231733546700585,0.8319479262289756
fincall,combined,v,3,test,ticker_only,real,92,0.23401928115235415,0.8203324054442254
fincall,combined,v,7,test,mlp_pastvol,global_shuffle,92,0.23162180373309216,0.25486987245499204
fincall,combined,v,7,test,mlp_pastvol,real,92,0.23162180373309216,0.25486987245499204
fincall,combined,v,7,test,mlp_pastvol,within_shuffle,92,0.23162180373309216,0.25486987245499204
fincall,combined,v,7,test,mlp_text,global_shuffle,92,-1.5467652410896187,0.8447581351512552
fincall,combined,v,7,test,mlp_text,real,92,-2.481906017715212,1.154942900445189
fincall,combined,v,7,test,mlp_text,within_shuffle,92,-2.4972562991710414,1.1600345653255868
fincall,combined,v,7,test,mlp_text_pastvol,global_shuffle,92,-1.5555720426279285,0.8476793377513686
fincall,combined,v,7,test,mlp_text_pastvol,real,92,-2.1467226727177273,1.043763097577811
fincall,combined,v,7,test,mlp_text_pastvol,within_shuffle,92,-2.1901908526918206,1.058181426389941
fincall,combined,v,7,test,ridge_pastvol,global_shuffle,92,0.10354738406282205,0.29735196156774724
fincall,combined,v,7,test,ridge_pastvol,real,92,0.10354738406282205,0.29735196156774724
fincall,combined,v,7,test,ridge_pastvol,within_shuffle,92,0.10354738406282205,0.29735196156774724
fincall,combined,v,7,test,ridge_text,global_shuffle,92,-0.19125988205296807,0.39513908082592586
fincall,combined,v,7,test,ridge_text,real,92,-0.07603714611398593,0.3569198755499831
fincall,combined,v,7,test,ridge_text,within_shuffle,92,-0.07189772452983867,0.355546835741833
fincall,combined,v,7,test,ridge_text_pastvol,global_shuffle,92,-0.15480691429788807,0.3830476871769631
fincall,combined,v,7,test,ridge_text_pastvol,real,92,-0.044190485658700096,0.3463563869869413
fincall,combined,v,7,test,ridge_text_pastvol,within_shuffle,92,-0.03930929371168945,0.3447373030839791
fincall,combined,v,7,test,ticker_only,real,92,-0.08372920305923337,0.35947131907359753
fincall,combined,v,15,test,mlp_pastvol,global_shuffle,92,0.1575000907916635,0.15330724026151116
fincall,combined,v,15,test,mlp_pastvol,real,92,0.1575000907916635,0.15330724026151116
fincall,combined,v,15,test,mlp_pastvol,within_shuffle,92,0.1575000907916635,0.15330724026151116
fincall,combined,v,15,test,mlp_text,global_shuffle,92,-2.770535071293751,0.6861132206322206
fincall,combined,v,15,test,mlp_text,real,92,-4.673883820787965,1.032460016460776
fincall,combined,v,15,test,mlp_text,within_shuffle,92,-4.614991324099705,1.0217435213719266
fincall,combined,v,15,test,mlp_text_pastvol,global_shuffle,92,-2.963027388903844,0.7211404837355192
fincall,combined,v,15,test,mlp_text_pastvol,real,92,-4.263609174348093,0.9578035410030318
fincall,combined,v,15,test,mlp_text_pastvol,within_shuffle,92,-4.260285087389287,0.9571986666374989
fincall,combined,v,15,test,ridge_pastvol,global_shuffle,92,0.062279253917764676,0.17063429698516844
fincall,combined,v,15,test,ridge_pastvol,real,92,0.062279253917764676,0.17063429698516844
fincall,combined,v,15,test,ridge_pastvol,within_shuffle,92,0.062279253917764676,0.17063429698516844
fincall,combined,v,15,test,ridge_text,global_shuffle,92,-0.5111902657666785,0.27498686542583267
fincall,combined,v,15,test,ridge_text,real,92,-0.3440595094642138,0.24457457133356825
fincall,combined,v,15,test,ridge_text,within_shuffle,92,-0.3508496759589881,0.24581015803791365
fincall,combined,v,15,test,ridge_text_pastvol,global_shuffle,92,-0.44283557110369154,0.2625485618923074
fincall,combined,v,15,test,ridge_text_pastvol,real,92,-0.2874551345930436,0.234274439068413
fincall,combined,v,15,test,ridge_text_pastvol,within_shuffle,92,-0.29357934987025924,0.23538884458069317
fincall,combined,v,15,test,ticker_only,real,92,-0.4146211374789912,0.25741446406360985
fincall,combined,v,30,test,mlp_pastvol,global_shuffle,92,-0.4012573271817357,0.15003939589254242
fincall,combined,v,30,test,mlp_pastvol,real,92,-0.4012573271817357,0.15003939589254242
