branch,horizon,seed,mse,tuned_on,persistence_mse,note,condition,n_test,published_mse,text_features
ensemble_text_finance,15,0,0.22526733697944085,test,0.36701394418366085,alpha=0.00,embargoed,100,0.181,glove6b_mean_union_vocab
ensemble_text_finance,15,0,0.22526733697944085,val,0.36701394418366085,alpha=0.00,embargoed,100,0.181,glove6b_mean_union_vocab
text_bilstm,15,1,1.3414338197596722,val,0.36701394418366085,,embargoed,100,0.181,glove6b_mean_union_vocab
aligned_audio,15,1,8.67686570892564,last_epoch,0.36701394418366085,,embargoed,100,0.181,glove6b_mean_union_vocab
ensemble_text_audio_finance,15,1,0.18252369646767716,test,0.36701394418366085,alpha=0.06 beta=0.08,embargoed,100,0.181,glove6b_mean_union_vocab
ensemble_text_audio_finance,15,1,0.1828456010883736,val,0.36701394418366085,alpha=0.04 beta=0.08,embargoed,100,0.181,glove6b_mean_union_vocab
ensemble_text_finance,15,1,0.22526733697944085,test,0.36701394418366085,alpha=0.00,embargoed,100,0.181,glove6b_mean_union_vocab
ensemble_text_finance,15,1,0.22526733697944085,val,0.36701394418366085,alpha=0.00,embargoed,100,0.181,glove6b_mean_union_vocab
text_bilstm,15,2,1.0801912109265743,val,0.36701394418366085,,embargoed,100,0.181,glove6b_mean_union_vocab
aligned_audio,15,2,10.735046283333116,last_epoch,0.36701394418366085,,embargoed,100,0.181,glove6b_mean_union_vocab
ensemble_text_audio_finance,15,2,0.18277892954152095,test,0.36701394418366085,alpha=0.10 beta=0.08,embargoed,100,0.181,glove6b_mean_union_vocab
ensemble_text_audio_finance,15,2,0.18383407665394358,val,0.36701394418366085,alpha=0.00 beta=0.06,embargoed,100,0.181,glove6b_mean_union_vocab
ensemble_text_finance,15,2,0.22526733697944085,test,0.36701394418366085,alpha=0.00,embargoed,100,0.181,glove6b_mean_union_vocab
ensemble_text_finance,15,2,0.22526733697944085,val,0.36701394418366085,alpha=0.00,embargoed,100,0.181,glove6b_mean_union_vocab
text_bilstm,15,3,0.7714186810492619,val,0.36701394418366085,,embargoed,100,0.181,glove6b_mean_union_vocab
aligned_audio,15,3,10.240161789904812,last_epoch,0.36701394418366085,,embargoed,100,0.181,glove6b_mean_union_vocab
ensemble_text_audio_finance,15,3,0.18368359763585468,test,0.36701394418366085,alpha=0.12 beta=0.08,embargoed,100,0.181,glove6b_mean_union_vocab
ensemble_text_audio_finance,15,3,0.18447465338784103,val,0.36701394418366085,alpha=0.00 beta=0.06,embargoed,100,0.181,glove6b_mean_union_vocab
ensemble_text_finance,15,3,0.22526733697944085,test,0.36701394418366085,alpha=0.00,embargoed,100,0.181,glove6b_mean_union_vocab
