dataset,horizon,run,mse,mse_single,mse_mean,mse_std,mse_best,published_mse,published_std,text_embedding
15,7,5,0.1880246549844741,1.2404509782791138,0.18539439588785167,0.00216540379311516,0.1825715750455856,0.187,0.0027,regenerated_bert_base_pooler
15,7,6,0.1844423711299896,1.22891366481781,0.18539439588785167,0.00216540379311516,0.1825715750455856,0.187,0.0027,regenerated_bert_base_pooler
15,7,7,0.1873595565557479,1.211301565170288,0.18539439588785167,0.00216540379311516,0.1825715750455856,0.187,0.0027,regenerated_bert_base_pooler
15,7,8,0.1830840855836868,1.226319432258606,0.18539439588785167,0.00216540379311516,0.1825715750455856,0.187,0.0027,regenerated_bert_base_pooler
15,7,9,0.1838854253292083,1.1970012187957764,0.18539439588785167,0.00216540379311516,0.1825715750455856,0.187,0.0027,regenerated_bert_base_pooler
15,15,0,0.1216586604714393,1.2745245695114136,0.12309452891349786,0.0046065281360623865,0.1164930462837219,0.122,0.0032,regenerated_bert_base_pooler
15,15,1,0.1236093789339065,1.3984441757202148,0.12309452891349786,0.0046065281360623865,0.1164930462837219,0.122,0.0032,regenerated_bert_base_pooler
15,15,2,0.1164930462837219,1.2594527006149292,0.12309452891349786,0.0046065281360623865,0.1164930462837219,0.122,0.0032,regenerated_bert_base_pooler
15,15,3,0.1235287114977836,1.4609636068344116,0.12309452891349786,0.0046065281360623865,0.1164930462837219,0.122,0.0032,regenerated_bert_base_pooler
15,15,4,0.1271658986806869,1.2599964141845703,0.12309452891349786,0.0046065281360623865,0.1164930462837219,0.122,0.0032,regenerated_bert_base_pooler
15,15,5,0.124670885503292,1.2378044128417969,0.12309452891349786,0.0046065281360623865,0.1164930462837219,0.122,0.0032,regenerated_bert_base_pooler
15,15,6,0.1253130286931991,1.3495115041732788,0.12309452891349786,0.0046065281360623865,0.1164930462837219,0.122,0.0032,regenerated_bert_base_pooler
15,15,7,0.1176908835768699,1.3007618188858032,0.12309452891349786,0.0046065281360623865,0.1164930462837219,0.122,0.0032,regenerated_bert_base_pooler
15,15,8,0.1317715644836425,1.3093920946121216,0.12309452891349786,0.0046065281360623865,0.1164930462837219,0.122,0.0032,regenerated_bert_base_pooler
15,15,9,0.119043231010437,1.2776035070419312,0.12309452891349786,0.0046065281360623865,0.1164930462837219,0.122,0.0032,regenerated_bert_base_pooler
15,30,0,0.0853253230452537,1.567244529724121,0.08618332669138905,0.0020838567004637593,0.0829615443944931,0.087,0.0017,regenerated_bert_base_pooler
15,30,1,0.0867379009723663,1.5451459884643557,0.08618332669138905,0.0020838567004637593,0.0829615443944931,0.087,0.0017,regenerated_bert_base_pooler
15,30,2,0.0838780552148819,1.568734884262085,0.08618332669138905,0.0020838567004637593,0.0829615443944931,0.087,0.0017,regenerated_bert_base_pooler
15,30,3,0.0829615443944931,1.5729172229766846,0.08618332669138905,0.0020838567004637593,0.0829615443944931,0.087,0.0017,regenerated_bert_base_pooler
15,30,4,0.0854769274592399,1.497057318687439,0.08618332669138905,0.0020838567004637593,0.0829615443944931,0.087,0.0017,regenerated_bert_base_pooler
15,30,5,0.0849120318889617,1.545173168182373,0.08618332669138905,0.0020838567004637593,0.0829615443944931,0.087,0.0017,regenerated_bert_base_pooler
15,30,6,0.088641844689846,1.855740547180176,0.08618332669138905,0.0020838567004637593,0.0829615443944931,0.087,0.0017,regenerated_bert_base_pooler
15,30,7,0.0867777913808822,1.5396180152893066,0.08618332669138905,0.0020838567004637593,0.0829615443944931,0.087,0.0017,regenerated_bert_base_pooler
15,30,8,0.0874372199177742,1.8156938552856443,0.08618332669138905,0.0020838567004637593,0.0829615443944931,0.087,0.0017,regenerated_bert_base_pooler
15,30,9,0.0896846279501915,1.497897028923035,0.08618332669138905,0.0020838567004637593,0.0829615443944931,0.087,0.0017,regenerated_bert_base_pooler
16,3,0,0.5785872936248779,1.8188596963882449,0.44242614805698394,0.07433289094022093,0.3343483209609985,0.445,0.0636,regenerated_bert_base_pooler
16,3,1,0.4283792376518249,1.6928390264511108,0.44242614805698394,0.07433289094022093,0.3343483209609985,0.445,0.0636,regenerated_bert_base_pooler
16,3,2,0.508813202381134,1.7582788467407229,0.44242614805698394,0.07433289094022093,0.3343483209609985,0.445,0.0636,regenerated_bert_base_pooler
16,3,3,0.4822621941566467,1.731012940406799,0.44242614805698394,0.07433289094022093,0.3343483209609985,0.445,0.0636,regenerated_bert_base_pooler
16,3,4,0.3923026025295257,1.746341586112976,0.44242614805698394,0.07433289094022093,0.3343483209609985,0.445,0.0636,regenerated_bert_base_pooler
16,3,5,0.3471250236034393,1.777035355567932,0.44242614805698394,0.07433289094022093,0.3343483209609985,0.445,0.0636,regenerated_bert_base_pooler
16,3,6,0.474355548620224,1.7995095252990725,0.44242614805698394,0.07433289094022093,0.3343483209609985,0.445,0.0636,regenerated_bert_base_pooler
16,3,7,0.3343483209609985,1.7585158348083496,0.44242614805698394,0.07433289094022093,0.3343483209609985,0.445,0.0636,regenerated_bert_base_pooler
16,3,8,0.4574726521968841,1.7780717611312866,0.44242614805698394,0.07433289094022093,0.3343483209609985,0.445,0.0636,regenerated_bert_base_pooler
16,3,9,0.420615404844284,1.7646466493606567,0.44242614805698394,0.07433289094022093,0.3343483209609985,0.445,0.0636,regenerated_bert_base_pooler
16,7,0,0.3220992386341095,1.460091471672058,0.288402171432972,0.039678570376976335,0.2137277573347091,0.279,0.0442,regenerated_bert_base_pooler
16,7,1,0.2499573528766632,1.5209782123565674,0.288402171432972,0.039678570376976335,0.2137277573347091,0.279,0.0442,regenerated_bert_base_pooler
