dataset,stratum,split,target,horizon,model,segment,n,mse,mae,r2_oos,spearman_q,seed_std,dm_p_vs_persistence,dm_p_vs_har,dm_p_vs_stage1,dm_p_vs_stage2
earnings25,64k,ticker_disjoint,v,7,mlp_emotion2vec_audio,test,39,2.520546075527188e+22,121327410604.3446,-4.5518807470412506e+22,-0.0006072874493927126,8.208030143676022e+21,7.232477940299183e-05,7.232477940299183e-05,7.232477940299183e-05,7.232477940299183e-05
earnings25,64k,ticker_disjoint,v,7,mlp_emotion2vec_audio,val,27,9.797373902814016e+21,74906499321.03801,-2.4730266639938754e+22,-0.4107692307692307,8.208030143676022e+21,0.0022885314564049498,0.0022885314564049498,0.0022885314564049498,0.0022885314564049498
earnings25,64k,ticker_disjoint,v,7,mlp_emotion2vec_audio_pastvol,test,39,2.041825244838496e+22,109331362278.51454,-3.6873537488733306e+22,0.013360323886639677,8.415629908339285e+21,0.0005723995937433667,0.0005723995937433667,0.0005723995937433667,0.0005723995937433667
earnings25,64k,ticker_disjoint,v,7,mlp_emotion2vec_audio_pastvol,val,27,8.418607706606254e+21,70547650476.17435,-2.1250022239287823e+22,0.6173076923076922,8.415629908339285e+21,0.0015271041470067543,0.0015271041470067543,0.0015271041470067543,0.0015271041470067543
earnings25,64k,ticker_disjoint,v,7,mlp_wavlm_audio,test,39,2.405557449605659e+26,11502847971555.229,-4.344221574474266e+26,-0.009716599190283401,3.7918755295125404e+25,0.0003841147425138281,0.0003841147425138281,0.0003841147425138281,0.0003841147425138281
earnings25,64k,ticker_disjoint,v,7,mlp_wavlm_audio,val,27,1.6960241833811943e+26,11048136201716.979,-4.281058444728169e+26,0.5842307692307692,3.7918755295125404e+25,0.00014096187795351544,0.00014096187795351544,0.00014096187795351544,0.00014096187795351544
earnings25,64k,ticker_disjoint,v,7,mlp_wavlm_audio_pastvol,test,39,2.1157539272670553e+26,10792510845710.496,-3.820862336344917e+26,-0.009716599190283401,6.654679922349824e+25,0.0003745569178994397,0.0003745569178994397,0.0003745569178994397,0.0003745569178994397
earnings25,64k,ticker_disjoint,v,7,mlp_wavlm_audio_pastvol,val,27,1.4961427941742987e+26,10372315684386.26,-3.7765232396332474e+26,0.5842307692307692,6.654679922349824e+25,0.00014602906784679849,0.00014602906784679849,0.00014602906784679849,0.00014602906784679849
earnings25,64k,ticker_disjoint,v,7,mlp_wavlm_egemaps_audio,test,39,1.4812078964073174e+26,8702107392964.346,-2.6749289653876884e+26,-0.038056680161943315,2.115994970942295e+25,0.0017318094045095844,0.0017318094045095844,0.0017318094045095844,0.0017318094045095844
earnings25,64k,ticker_disjoint,v,7,mlp_wavlm_egemaps_audio,val,27,8.687023107164913e+25,8041931179945.542,-2.192754914516359e+26,0.5642307692307692,2.115994970942295e+25,1.3000175752299996e-05,1.3000175752299996e-05,1.3000175752299996e-05,1.3000175752299996e-05
earnings25,64k,ticker_disjoint,v,7,mlp_wavlm_egemaps_audio_pastvol,test,39,8.610442632273917e+25,6528639668290.773,-1.5549689181203806e+26,-0.039271255060728746,4.1032440968135655e+25,0.002653843023568252,0.002653843023568252,0.002653843023568252,0.002653843023568252
earnings25,64k,ticker_disjoint,v,7,mlp_wavlm_egemaps_audio_pastvol,val,27,4.750124026782594e+25,5953427391200.808,-1.1990134797384094e+26,0.5646153846153845,4.1032440968135655e+25,6.478153314443784e-06,6.478153314443784e-06,6.478153314443784e-06,6.478153314443784e-06
earnings25,64k,ticker_disjoint,v,7,mlp_wavlm_text_audio_pastvol,test,39,1.315817359984919e+26,9263419944977.56,-2.3762484509573068e+26,-0.06497975708502025,6.064973128505121e+25,0.00013276708025538656,0.00013276708025538656,0.00013276708025538656,0.00013276708025538656
earnings25,64k,ticker_disjoint,v,7,mlp_wavlm_text_audio_pastvol,val,27,1.0038366317230723e+26,8305835432519.406,-2.533857318471766e+26,-0.44192307692307686,6.064973128505121e+25,0.0002574246878448329,0.0002574246878448329,0.0002574246878448329,0.0002574246878448329
earnings25,64k,ticker_disjoint,v,7,ridge_egemaps_audio,test,39,0.2831019363096174,0.45051434984869504,0.488743226775445,0.25080971659919027,,0.03815729960151968,0.2882639509872838,0.6043821081808994,0.8125508839713476
earnings25,64k,ticker_disjoint,v,7,ridge_egemaps_audio,val,27,0.31939765083291755,0.4232538294761769,0.19378507469237183,0.4961538461538461,,0.36205613036380746,0.05703688436402839,0.08878526861580632,0.0792922992534587
earnings25,64k,ticker_disjoint,v,7,ridge_egemaps_audio_pastvol,test,39,0.2501650619394618,0.41925438027673195,0.548224275651677,0.32105263157894737,,0.01799336061312826,0.7620921282353796,0.9168411135523074,0.27575312321967976
earnings25,64k,ticker_disjoint,v,7,ridge_egemaps_audio_pastvol,val,27,0.30093432657455765,0.4236397383768499,0.24038969920688014,-0.423076923076923,,0.2358799083606786,0.07388631659816676,0.1353935573305929,0.07092604890248004
earnings25,64k,ticker_disjoint,v,7,ridge_emotion2vec_audio,test,39,0.2747963684504469,0.4415554094157346,0.5037423393877765,0.2,,0.032993241854590315,0.3788807284624883,0.7138759857526524,0.6321450079951138
earnings25,64k,ticker_disjoint,v,7,ridge_emotion2vec_audio,val,27,0.3248507957877014,0.43489610802112033,0.18002039345270748,-0.47653846153846147,,0.3862431986061152,0.04231612983534872,0.08021251349992714,0.06896566641351895
earnings25,64k,ticker_disjoint,v,7,ridge_emotion2vec_audio_pastvol,test,39,0.2734048332836432,0.44071050180821114,0.5062553274248154,0.23279352226720648,,0.03164041151271992,0.39128241824272436,0.7313021131017746,0.6028637874373591
earnings25,64k,ticker_disjoint,v,7,ridge_emotion2vec_audio_pastvol,val,27,0.322554465561533,0.43429444236890796,0.1858167282001426,-0.46730769230769226,,0.3659155103203676,0.042323891200210434,0.0814081217633878,0.06947071358272741
earnings25,64k,ticker_disjoint,v,7,ridge_wavlm_audio,test,39,0.28518543436741517,0.4406043570518209,0.4849806156540418,0.027935222672064778,,0.047307245799744435,0.3009889285026736,0.5899221880995824,0.8670834160870073
earnings25,64k,ticker_disjoint,v,7,ridge_wavlm_audio,val,27,0.3270053348762126,0.43866647787762836,0.17458196406605841,-0.4638461538461538,,0.3900688688238197,0.042083769951305416,0.07285556563251451,0.0614020166536446
earnings25,64k,ticker_disjoint,v,7,ridge_wavlm_audio_pastvol,test,39,0.28382703975980056,0.43979560160916564,0.4874337548056411,0.04919028340080973,,0.045682985472189984,0.3102994043689537,0.6041753043174692,0.8392373442671314
earnings25,64k,ticker_disjoint,v,7,ridge_wavlm_audio_pastvol,val,27,0.32499663598716205,0.4377584308148068,0.17965226755945685,-0.4534615384615384,,0.37154243029128087,0.04209448621787992,0.07390430341084561,0.06163772757117025
earnings25,64k,ticker_disjoint,v,7,ridge_wavlm_egemaps_audio,test,39,0.2818580235383998,0.4383668295739133,0.4909896219710257,0.04817813765182186,,0.043822477963732565,0.3301641684936306,0.6288294220352177,0.7992666087887692
earnings25,64k,ticker_disjoint,v,7,ridge_wavlm_egemaps_audio,val,27,0.32696624108488703,0.4370590985753806,0.17468064355844448,0.5265384615384615,,0.3930712095376865,0.043968019288834224,0.07582623941991729,0.06250044523908826
earnings25,64k,ticker_disjoint,v,7,ridge_wavlm_egemaps_audio_pastvol,test,39,0.2805237582978747,0.4375797765379807,0.49339918564405716,0.07246963562753037,,0.042309578905030135,0.3403460052313149,0.6437094858981258,0.7720376888199633
earnings25,64k,ticker_disjoint,v,7,ridge_wavlm_egemaps_audio_pastvol,val,27,0.3249586601076693,0.4363609663104621,0.17974812524898243,0.5373076923076923,,0.37456714224676213,0.04396261799603454,0.07689360078388094,0.06270889443484153
earnings25,64k,ticker_disjoint,v,7,ridge_wavlm_text_audio_pastvol,test,39,0.27013850394994005,0.4213848161404125,0.5121540260250659,0.3368421052631579,,0.03310686503011809,0.5017141223280094,0.800641785760976,0.37254993931283753
earnings25,64k,ticker_disjoint,v,7,ridge_wavlm_text_audio_pastvol,val,27,0.268587575169793,0.42418447367429396,0.32203849562016007,-0.2757692307692307,,0.04481243273330321,0.17812327912018103,0.20525406086460124,0.017371074045652555
earnings25,64k,ticker_disjoint,v,15,mlp_egemaps_audio,test,39,1.3844121260754956,0.9481316978993579,-7.120262164726034,-0.1771255060728745,0.3078563948878864,6.0579358172252833e-05,2.324213134862524e-05,1.8872241797566197e-05,6.75739993312229e-05
earnings25,64k,ticker_disjoint,v,15,mlp_egemaps_audio,val,27,3.1184130677690916,1.0574747873916817,-13.464460885826433,0.5523076923076923,0.3078563948878864,0.09734796622299635,0.09381993820030647,0.087013576144575,0.08787606968225906
earnings25,64k,ticker_disjoint,v,15,mlp_egemaps_audio_pastvol,test,39,1.4569200690075823,1.0335677507104144,-7.545557128952193,-0.06052631578947369,0.781341181209149,2.9257201702036283e-06,1.0284684217842188e-06,8.023044601551393e-07,5.4112937518359665e-06
earnings25,64k,ticker_disjoint,v,15,mlp_egemaps_audio_pastvol,val,27,2.5073195622592603,1.0105849850609863,-10.629962082769204,0.5953846153846153,0.781341181209149,0.0976445570043579,0.093284446661605,0.08483151611263211,0.08585287549883684
earnings25,64k,ticker_disjoint,v,15,mlp_emotion2vec_audio,test,39,2.524735473759424e+22,121569882010.91652,-1.4808822862327568e+23,-0.018218623481781375,8.277738609996662e+21,8.430304420560846e-05,8.430304420560846e-05,8.430304420560846e-05,8.430304420560846e-05
earnings25,64k,ticker_disjoint,v,15,mlp_emotion2vec_audio,val,27,9.874986379950917e+21,75434428146.21707,-4.580418024705551e+22,-0.388076923076923,8.277738609996662e+21,0.002084065454279445,0.002084065454279445,0.002084065454279445,0.002084065454279445
