dataset,split,target,horizon,model,segment,n,mse,mae,r2_oos,spearman_q,seed_std,dm_p_vs_persistence,dm_p_vs_har,dm_p_vs_stage1
fincall,ticker_disjoint,har_resid,15,mlp_text_pastvol,val,239,0.2517286581909115,0.38227041688664953,-0.29789304667611005,0.10955254381442847,0.025654252146152294,0.0012043431204657575,0.0012043431204657575,0.11035421863669145
fincall,ticker_disjoint,har_resid,15,ridge_pastvol,test,484,0.16576228115390662,0.3159265295932112,0.016573637271185215,0.1844151112797504,,0.2806590221560966,0.2806590221560966,0.0001262178737348858
fincall,ticker_disjoint,har_resid,15,ridge_pastvol,val,239,0.18980961008127767,0.323681956713632,0.02135666678857162,0.184361661875689,,0.05892352855135278,0.05892352855135278,0.0286565535180543
fincall,ticker_disjoint,har_resid,15,ridge_text,test,484,0.16207211748539582,0.3097799730485231,0.03846645998776044,0.18637996368550322,,0.1396766061674786,0.1396766061674786,8.60615201538447e-05
fincall,ticker_disjoint,har_resid,15,ridge_text,val,239,0.18504292991024243,0.3134852973889351,0.045933292645066515,0.22798730247163387,,0.21059105238471035,0.21059105238471035,0.031771705710991784
fincall,ticker_disjoint,har_resid,15,ridge_text_pastvol,test,484,0.16214895778627028,0.30986415042845306,0.03801058560503656,0.181649896238754,,0.14434965157850574,0.14434965157850574,9.020101622101317e-05
fincall,ticker_disjoint,har_resid,15,ridge_text_pastvol,val,239,0.18443487124609986,0.31295122108823176,0.04906839501216875,0.22903208042953452,,0.17858529614429478,0.17858529614429478,0.028258848483781792
fincall,ticker_disjoint,har_resid,30,mlp_pastvol,test,484,0.17675305466427274,0.30816549564408424,0.017100618405211043,0.10779431885148086,0.002168343427878905,0.2739346749424006,0.2739346749424006,0.0009184736980925641
fincall,ticker_disjoint,har_resid,30,mlp_pastvol,val,239,0.20782419014779624,0.3129616701667786,0.05867698310831637,0.2688759809812373,0.002168343427878905,0.0016256715915212775,0.0016256715915212775,0.3943133970137133
fincall,ticker_disjoint,har_resid,30,mlp_text,test,484,0.23670046153608665,0.37586607878904454,-0.31625865085570704,0.046104353862383235,0.03333263516008104,0.000110456384684041,0.000110456384684041,0.050490893732102034
fincall,ticker_disjoint,har_resid,30,mlp_text,val,239,0.23720316729273522,0.3768259926412208,-0.07439273981276684,-0.019482151330565214,0.03333263516008104,0.4246338112794628,0.4246338112794628,0.42288166850654296
fincall,ticker_disjoint,har_resid,30,mlp_text_pastvol,test,484,0.2218077820923623,0.3617615900279772,-0.23344251258115367,0.08693471733918935,0.02241026058144461,0.006865724565367284,0.006865724565367284,0.28608987809089553
fincall,ticker_disjoint,har_resid,30,mlp_text_pastvol,val,239,0.2359129699551083,0.3713799269410377,-0.06854889435196232,0.14295771548589578,0.02241026058144461,0.5292851829102645,0.5292851829102645,0.49336184826292784
fincall,ticker_disjoint,har_resid,30,ridge_pastvol,test,484,0.179173220591563,0.3132086996051374,0.0036424091662893288,-0.038782926959290955,,0.8355473233288793,0.8355473233288793,0.0045836157270865265
fincall,ticker_disjoint,har_resid,30,ridge_pastvol,val,239,0.21304465788542146,0.3239004943021575,0.03503129279251482,0.13379010717781842,,0.003608936800787233,0.003608936800787233,0.6727193408439994
fincall,ticker_disjoint,har_resid,30,ridge_text,test,484,0.15919905929298925,0.2981015833525045,0.11471596784131821,0.21079569704173237,,0.00323605780892654,0.00323605780892654,6.898188175038605e-05
fincall,ticker_disjoint,har_resid,30,ridge_text,val,239,0.18855275694567097,0.31194378333156314,0.14596539563021882,0.24118840518480972,,0.0013538136086536138,0.0013538136086536138,0.05675448047191806
fincall,ticker_disjoint,har_resid,30,ridge_text_pastvol,test,484,0.15937154992427607,0.2986220653363936,0.11375677120879191,0.20341042807352352,,0.003720602756287357,0.003720602756287357,7.515703718807589e-05
fincall,ticker_disjoint,har_resid,30,ridge_text_pastvol,val,239,0.1875142280087333,0.3112039669284718,0.1506693292356006,0.25257778304637235,,0.0009853088823982296,0.0009853088823982296,0.04795148473991548
fincall,ticker_disjoint,v,3,mlp_pastvol,test,484,0.5922400569787811,0.6057770335524119,0.4815113225971137,0.36126802704234445,0.005774605615940275,1.924878392912749e-11,0.12802313243712438,0.0031999290560298824
fincall,ticker_disjoint,v,3,mlp_pastvol,val,239,0.6416713300052481,0.6428637515591059,0.47560272081939625,0.09888254222293837,0.005774605615940275,2.2826580832169862e-09,0.7951212845680173,0.040566157103497716
fincall,ticker_disjoint,v,3,mlp_text,test,484,1.5557288402343235,0.8714050159800832,-0.3619946494087285,-0.02071194931000591,0.14728236507363662,0.17423197534911772,0.0008042887687793732,0.002505869226816997
fincall,ticker_disjoint,v,3,mlp_text,val,239,0.9290085121513736,0.7798845551177529,0.24078026658317953,-0.005804398194924691,0.14728236507363662,0.007100029570371051,7.382268039499308e-06,0.0026879190122847895
fincall,ticker_disjoint,v,3,mlp_text_pastvol,test,484,1.4323462793483293,0.8246956380687887,-0.253976861596966,0.025402222474851764,0.1535817026294049,0.339367539452645,0.00332789530820412,0.008988611328852252
fincall,ticker_disjoint,v,3,mlp_text_pastvol,val,239,0.9492504375672872,0.7954686498142047,0.22423782481101084,0.09035954931406849,0.1535817026294049,0.018056062602922873,8.550630260150169e-06,0.0018427510678609273
fincall,ticker_disjoint,v,3,ridge_pastvol,test,484,0.6488076260166243,0.6277616161561018,0.4319880866918149,0.22709584846196706,,1.491665405814483e-09,2.5537616271285803e-05,0.5958596297281239
fincall,ticker_disjoint,v,3,ridge_pastvol,val,239,0.6187101481701028,0.6332861709577372,0.4943674383906532,0.06640816323044332,,8.198553047805287e-10,0.32064989965608465,0.028286079237630744
fincall,ticker_disjoint,v,3,ridge_text,test,484,0.6669718839153407,0.6396585588284541,0.416085815403455,0.1452334734940446,,1.942196076827751e-08,4.383762168969806e-05,0.9610330093667042
fincall,ticker_disjoint,v,3,ridge_text,val,239,0.6351393353562477,0.630845893132993,0.48094090574582904,0.12268526965072243,,3.6414648483120824e-09,0.7226612127338073,0.055898375626907346
fincall,ticker_disjoint,v,3,ridge_text_pastvol,test,484,0.6647890964241612,0.6389159187562418,0.41799678138087737,0.1451313773164848,,1.4920148166185004e-08,4.5012612779453057e-05,0.9860868113274943
fincall,ticker_disjoint,v,3,ridge_text_pastvol,val,239,0.6359856415831953,0.6312591628088827,0.4802492733446101,0.12540586259644193,,3.2258449703025604e-09,0.7403301544603639,0.056660112226030096
fincall,ticker_disjoint,v,7,mlp_pastvol,test,484,0.24494729514762864,0.386659065576283,0.3648297530386929,0.5217721066338178,0.0030089383823997183,7.876284601851536e-12,0.5703718951810124,0.0016073635894517063
fincall,ticker_disjoint,v,7,mlp_pastvol,val,239,0.2604308868045571,0.3892083465213347,0.44725063208366556,0.3457983879520698,0.0030089383823997183,2.8901976524119686e-10,0.2879144366679912,0.01524787300913018
fincall,ticker_disjoint,v,7,mlp_text,test,484,1.0803264263425372,0.7140157983197764,-1.8013830591811653,0.028338874045746573,0.10839112145169746,0.006074717902717491,0.0009554281699731019,0.0014663584178207238
fincall,ticker_disjoint,v,7,mlp_text,val,239,0.4816877051874204,0.5469211448121043,-0.022354060389266017,0.10902400296603826,0.10839112145169746,0.8398907868927388,1.726874386606073e-07,2.0569299462887257e-05
fincall,ticker_disjoint,v,7,mlp_text_pastvol,test,484,0.9855985739324461,0.6693648454685504,-1.5557452644336518,0.09157507640706886,0.12856810729702112,0.01578954507318177,0.002875964698071388,0.004263893092378209
fincall,ticker_disjoint,v,7,mlp_text_pastvol,val,239,0.5257133221326689,0.5768481092193493,-0.11579586461303037,0.1946916115639442,0.12856810729702112,0.3195725531828476,8.664950382922499e-08,2.850017691536308e-06
fincall,ticker_disjoint,v,7,ridge_pastvol,test,484,0.2677381536537182,0.4004028377325811,0.30573101828006466,0.4413369491468227,,2.208305237716647e-09,0.005995396386294004,0.4802430387673651
fincall,ticker_disjoint,v,7,ridge_pastvol,val,239,0.2697758300125034,0.4030113678742785,0.4274165351576631,0.31429392368045717,,3.8026775141020044e-10,0.9819461157804941,0.12898113261815086
fincall,ticker_disjoint,v,7,ridge_text,test,484,0.31078327970859776,0.4223538461557194,0.1941111560142652,0.2617800725822529,,0.004377319821586341,9.103295904203485e-06,0.042236676912682146
fincall,ticker_disjoint,v,7,ridge_text,val,239,0.27344751936869294,0.40144598988522046,0.4196235886461305,0.32341517271715065,,1.4825166285696408e-07,0.8158220605337024,0.2757339276762653
fincall,ticker_disjoint,v,7,ridge_text_pastvol,test,484,0.3043877187740812,0.4178437050547092,0.21069541760321098,0.2844874711514165,,0.0014567168326620336,2.1479638011187798e-05,0.08336563821335397
fincall,ticker_disjoint,v,7,ridge_text_pastvol,val,239,0.27113729320153246,0.39990360041306644,0.42452690894469425,0.3347129408040656,,5.7532775504913e-08,0.9215110878377302,0.22237635605370942
fincall,ticker_disjoint,v,15,mlp_pastvol,test,484,0.16169294512428706,0.3114461633676464,0.2432519409338506,0.607242711523602,0.0015420782567891072,9.398213533385823e-07,0.10560118148561681,9.90839542941826e-06
fincall,ticker_disjoint,v,15,mlp_pastvol,val,239,0.18512919406368125,0.31976934963990217,0.3643540328115795,0.45224409827369505,0.0015420782567891072,1.3726836266775121e-09,0.11539657310413268,0.0028506152403545305
fincall,ticker_disjoint,v,15,mlp_text,test,484,0.9582865672287999,0.6773197438296054,-3.484929748927133,-0.006529417766956791,0.10010468185279789,0.0022706682608981937,0.0011020267822837231,0.0017054822475874843
fincall,ticker_disjoint,v,15,mlp_text,val,239,0.4219251754511517,0.5232601336264827,-0.4486912104124261,0.06581223479795685,0.10010468185279789,0.0009443645268520709,1.6423014035263134e-11,5.269660572758141e-09
fincall,ticker_disjoint,v,15,mlp_text_pastvol,test,484,0.8557831985809815,0.6156512521645586,-3.005198087088986,0.1253057439665124,0.10572445406952839,0.009899776628172579,0.0054104981717166606,0.007792669172148792
fincall,ticker_disjoint,v,15,mlp_text_pastvol,val,239,0.46952391018385053,0.5508429920081154,-0.6121227206565851,0.16466902490483815,0.10572445406952839,1.1872869142716068e-05,2.1219973010680046e-12,1.2396031178300155e-10
fincall,ticker_disjoint,v,15,ridge_pastvol,test,484,0.1728623875502873,0.32533045036175506,0.19097721818555935,0.5415567422274434,,8.572631285164884e-05,0.2967037812597523,0.0047004471309248464
fincall,ticker_disjoint,v,15,ridge_pastvol,val,239,0.1934964608670677,0.3326900749825257,0.33562480170968945,0.413851690759836,,2.141426240237171e-09,0.9392530238276329,0.05204082158943661
fincall,ticker_disjoint,v,15,ridge_text,test,484,0.22368652418682933,0.364845159641264,-0.04688762325110596,0.30314680096840846,,0.5840892226877153,2.2108109528247043e-06,0.042663054030665046
fincall,ticker_disjoint,v,15,ridge_text,val,239,0.18902294254619306,0.32228947428210886,0.3509847447710164,0.44049095535161326,,7.38975339426666e-06,0.6735274687629318,0.07114706604114401
fincall,ticker_disjoint,v,15,ridge_text_pastvol,test,484,0.2149289486804266,0.35806050353675106,-0.005900811726945898,0.3377729087836445,,0.9423294087151689,1.2500810254341605e-05,0.13415397521766034
fincall,ticker_disjoint,v,15,ridge_text_pastvol,val,239,0.18515594400459043,0.31841150404505475,0.3642621861844312,0.45877417016509486,,1.6381320501644873e-06,0.42279619693717163,0.03403407916101295
fincall,ticker_disjoint,v,30,mlp_pastvol,test,484,0.1836302276123705,0.3167924091301687,0.21243392538110395,0.5494897578735968,0.0037247878801515296,6.667043863081754e-05,0.4251633235342774,0.022111994865263142
fincall,ticker_disjoint,v,30,mlp_pastvol,val,239,0.2124307044739205,0.3159641103640673,0.3550451401326846,0.4882321070069821,0.0037247878801515296,3.644279673116017e-08,0.20465285473612546,0.6441519372510699
fincall,ticker_disjoint,v,30,mlp_text,test,484,0.9028329633961379,0.6558087241109326,-2.872132721631183,-0.0026440058759450258,0.10487914060110472,0.0038909396907583823,0.001685248870706006,0.0024542510485284046
fincall,ticker_disjoint,v,30,mlp_text,val,239,0.38905064541036927,0.5090642044707242,-0.18118567235057137,0.030811666816121595,0.10487914060110472,0.17950172413777604,5.11773525413056e-07,5.174231234443593e-07
fincall,ticker_disjoint,v,30,mlp_text_pastvol,test,484,0.8128008897241976,0.6078980357875412,-2.4859969106943973,0.0809217458041445,0.10500173772952269,0.012706624334946343,0.006121679057859664,0.008509711805320046
fincall,ticker_disjoint,v,30,mlp_text_pastvol,val,239,0.4534406174321857,0.5388890825013666,-0.3766782471411867,0.13679045332746065,0.10500173772952269,0.0107543224092567,1.230371973848905e-08,1.5094468941493608e-08
fincall,ticker_disjoint,v,30,ridge_pastvol,test,484,0.1809218724401633,0.31513386008307165,0.2240497071583375,0.6622921513274133,,1.9288776311580892e-05,0.8093306143871645,0.009854626934712032
fincall,ticker_disjoint,v,30,ridge_pastvol,val,239,0.22167983783925235,0.32541943751526625,0.3269641076458575,0.4941222391589543,,2.688215961191086e-08,0.8419587924334295,0.8104931586745846
fincall,ticker_disjoint,v,30,ridge_text,test,484,0.2070200049977351,0.3489442260792576,0.11211822354313239,0.2887849941866271,,0.1917113960359498,0.02791562077214722,0.8424329325778586
fincall,ticker_disjoint,v,30,ridge_text,val,239,0.19231324617050977,0.32274196192244936,0.4161231868919548,0.4390966683954774,,3.195885979531601e-06,0.04268480634824488,0.09832136289235444
fincall,ticker_disjoint,v,30,ridge_text_pastvol,test,484,0.20081304707841416,0.3430928380377797,0.1387390557852144,0.3283459270056864,,0.09677548178361411,0.07320055016837847,0.8142812076100712
fincall,ticker_disjoint,v,30,ridge_text_pastvol,val,239,0.18985416286652723,0.3192516926082068,0.4235891402325973,0.460450789154685,,1.4146764123480583e-06,0.02135699770365175,0.06459290872703459
maec,combined,dv,3,mlp_pastvol,test,102,0.5446595688417197,0.5725230993386488,0.5380731896782998,0.7153428551294696,0.013391081717942758,1.15618002767289e-05,0.9659005261587649,0.003835516393869932
maec,combined,dv,3,mlp_pastvol,val,4,0.46057472620097245,0.6268097655766591,0.23410925944760885,-0.39999999999999997,0.013391081717942758,0.6160232090990411,0.15829857095052297,0.987746793187916
maec,combined,dv,3,mlp_text,test,102,1.4710002177190613,0.9899046040208765,-0.2475580664056165,0.0717447202577795,0.16692969572762748,0.042155963192435204,2.753326491197536e-07,4.4423089805113065e-05
maec,combined,dv,3,mlp_text,val,4,0.9468695893295123,0.9587639130128677,-0.5745515542285251,-0.6000000000000001,0.16692969572762748,0.597475562801894,0.20505147078390845,0.27522819782777785
maec,combined,dv,3,mlp_text_pastvol,test,102,1.1170023685286357,0.8152763000272681,0.05266817892597975,0.47983907784759056,0.1971165952600451,0.7728981899127657,0.0025075042563718194,0.04459743427346728
maec,combined,dv,3,mlp_text_pastvol,val,4,0.7665977055441425,0.7974167947654967,-0.27477703617799487,-0.6000000000000001,0.1971165952600451,0.8039239861467554,0.3420882442685602,0.408169268128425
maec,combined,dv,3,ridge_pastvol,test,102,0.5970451560354876,0.6004877083440262,0.49364487411467717,0.6692756715607054,,5.292954440615573e-06,0.2910765425123172,0.06670901522318318
maec,combined,dv,3,ridge_pastvol,val,4,0.43764203780824035,0.5541859928659822,0.2722440781790708,-0.39999999999999997,,0.4806343755594284,0.43745181162143904,0.8903458517429158
maec,combined,dv,3,ridge_text,test,102,1.145167139577295,0.8561385102042278,0.028781583338178707,0.1304018566889608,,0.6224833678493251,6.340605438062076e-06,0.002587394864259285
maec,combined,dv,3,ridge_text,val,4,0.46545386179865894,0.585337166391684,0.22599573396827755,-0.7999999999999999,,0.5206906334731026,0.2977850404847987,0.9671401722821525
