model,model_id,window,year,quarter,mse,n_test,embedding,published_mse,abs_diff
TMLP,mTMLP_dDEC_e(DECRandomTicker),7,2020,second,0.39222,90,DECRandomTicker,0.373571,0.018649000000000027
TMLP,mTMLP_dDEC_e(DECRandomTicker),7,2020,third,0.242414,90,DECRandomTicker,0.23209,0.010324
TMLP,mTMLP_dDEC_e(DECRandomTicker),7,2021,first,0.181879,90,DECRandomTicker,0.210327,0.028447999999999973
TMLP,mTMLP_dDEC_e(DECRandomTicker),7,2021,fourth,0.216126,90,DECRandomTicker,0.215822,0.0003039999999999987
TMLP,mTMLP_dDEC_e(DECRandomTicker),7,2021,second,0.245372,90,DECRandomTicker,0.220095,0.025276999999999994
TMLP,mTMLP_dDEC_e(DECRandomTicker),7,2021,third,0.401134,90,DECRandomTicker,0.473957,0.07282300000000003
TMLP,mTMLP_dDEC_e(DECRandomTicker),7,2022,first,0.258096,90,DECRandomTicker,0.273533,0.015437000000000034
TMLP,mTMLP_dDEC_e(DECRandomTicker),7,2022,fourth,0.229573,90,DECRandomTicker,0.232781,0.0032079999999999886
TMLP,mTMLP_dDEC_e(DECRandomTicker),7,2022,second,0.301859,90,DECRandomTicker,0.24791,0.053949
TMLP,mTMLP_dDEC_e(DECRandomTicker),7,2022,third,0.234827,90,DECRandomTicker,0.222147,0.012679999999999997
TMLP,mTMLP_dDEC_e(DECRandomTicker),7,2023,first,0.178866,90,DECRandomTicker,0.179649,0.0007830000000000059
TMLP,mTMLP_dDEC_e(DECRandomTicker),7,2023,fourth,0.211215,90,DECRandomTicker,0.203555,0.00766
TMLP,mTMLP_dDEC_e(DECRandomTicker),7,2023,second,0.212361,90,DECRandomTicker,0.204598,0.007762999999999992
TMLP,mTMLP_dDEC_e(DECRandomTicker),7,2023,third,0.217784,90,DECRandomTicker,0.211253,0.006531000000000009
TMLP,mTMLP_dDEC_e(DECRandomTicker),15,2019,fourth,0.155522,90,DECRandomTicker,0.15622,0.0006980000000000042
TMLP,mTMLP_dDEC_e(DECRandomTicker),15,2019,second,0.18568,90,DECRandomTicker,0.166487,0.019193000000000016
TMLP,mTMLP_dDEC_e(DECRandomTicker),15,2019,third,0.213976,90,DECRandomTicker,0.239339,0.025362999999999997
TMLP,mTMLP_dDEC_e(DECRandomTicker),15,2020,first,0.718479,90,DECRandomTicker,0.685184,0.033294999999999964
TMLP,mTMLP_dDEC_e(DECRandomTicker),15,2020,fourth,0.301216,90,DECRandomTicker,0.285772,0.015443999999999958
TMLP,mTMLP_dDEC_e(DECRandomTicker),15,2020,second,0.334965,90,DECRandomTicker,0.351324,0.016359000000000012
TMLP,mTMLP_dDEC_e(DECRandomTicker),15,2020,third,0.189358,90,DECRandomTicker,0.167944,0.02141399999999999
TMLP,mTMLP_dDEC_e(DECRandomTicker),15,2021,first,0.124111,90,DECRandomTicker,0.066928,0.057183
TMLP,mTMLP_dDEC_e(DECRandomTicker),15,2021,fourth,0.157707,90,DECRandomTicker,0.173669,0.015961999999999976
TMLP,mTMLP_dDEC_e(DECRandomTicker),15,2021,second,0.163339,90,DECRandomTicker,0.157411,0.005928000000000017
TMLP,mTMLP_dDEC_e(DECRandomTicker),15,2021,third,0.309028,90,DECRandomTicker,0.295388,0.013640000000000041
TMLP,mTMLP_dDEC_e(DECRandomTicker),15,2022,first,0.155806,90,DECRandomTicker,0.160841,0.005035000000000012
TMLP,mTMLP_dDEC_e(DECRandomTicker),15,2022,fourth,0.19546,90,DECRandomTicker,0.181477,0.013982999999999995
TMLP,mTMLP_dDEC_e(DECRandomTicker),15,2022,second,0.21823,90,DECRandomTicker,0.182342,0.035888
TMLP,mTMLP_dDEC_e(DECRandomTicker),15,2022,third,0.125835,90,DECRandomTicker,0.11937,0.0064649999999999985
TMLP,mTMLP_dDEC_e(DECRandomTicker),15,2023,first,0.095382,90,DECRandomTicker,0.096266,0.0008840000000000098
TMLP,mTMLP_dDEC_e(DECRandomTicker),15,2023,fourth,0.122328,90,DECRandomTicker,0.127133,0.00480499999999999
TMLP,mTMLP_dDEC_e(DECRandomTicker),15,2023,second,0.151009,90,DECRandomTicker,0.127352,0.02365700000000001
TMLP,mTMLP_dDEC_e(DECRandomTicker),15,2023,third,0.133801,90,DECRandomTicker,0.132737,0.0010640000000000094
TMLP,mTMLP_dDEC_e(DECRandomTicker),30,2019,fourth,0.132467,90,DECRandomTicker,0.149385,0.01691799999999999
TMLP,mTMLP_dDEC_e(DECRandomTicker),30,2019,second,0.171535,90,DECRandomTicker,0.119102,0.052432999999999994
TMLP,mTMLP_dDEC_e(DECRandomTicker),30,2019,third,0.15712,90,DECRandomTicker,0.167381,0.010260999999999992
TMLP,mTMLP_dDEC_e(DECRandomTicker),30,2020,first,1.39273,90,DECRandomTicker,1.317721,0.0750090000000001
TMLP,mTMLP_dDEC_e(DECRandomTicker),30,2020,fourth,0.213945,90,DECRandomTicker,0.191327,0.022618
TMLP,mTMLP_dDEC_e(DECRandomTicker),30,2020,second,0.24485,90,DECRandomTicker,0.25614,0.011289999999999967
TMLP,mTMLP_dDEC_e(DECRandomTicker),30,2020,third,0.196733,90,DECRandomTicker,0.179094,0.017638999999999988
TMLP,mTMLP_dDEC_e(DECRandomTicker),30,2021,first,0.089022,90,DECRandomTicker,0.058211,0.030811000000000005
TMLP,mTMLP_dDEC_e(DECRandomTicker),30,2021,fourth,0.098099,90,DECRandomTicker,0.098688,0.0005889999999999923
TMLP,mTMLP_dDEC_e(DECRandomTicker),30,2021,second,0.164511,90,DECRandomTicker,0.212206,0.047695000000000015
TMLP,mTMLP_dDEC_e(DECRandomTicker),30,2021,third,0.284835,90,DECRandomTicker,0.218687,0.06614800000000001
TMLP,mTMLP_dDEC_e(DECRandomTicker),30,2022,first,0.107429,90,DECRandomTicker,0.093697,0.013731999999999994
TMLP,mTMLP_dDEC_e(DECRandomTicker),30,2022,fourth,0.09789,90,DECRandomTicker,0.101417,0.0035269999999999885
TMLP,mTMLP_dDEC_e(DECRandomTicker),30,2022,second,0.142912,90,DECRandomTicker,0.158805,0.01589299999999999
TMLP,mTMLP_dDEC_e(DECRandomTicker),30,2022,third,0.075888,90,DECRandomTicker,0.072535,0.003352999999999995
TMLP,mTMLP_dDEC_e(DECRandomTicker),30,2023,first,0.079752,90,DECRandomTicker,0.076896,0.0028559999999999974
TMLP,mTMLP_dDEC_e(DECRandomTicker),30,2023,fourth,0.114096,90,DECRandomTicker,0.11412,2.3999999999996247e-05
TMLP,mTMLP_dDEC_e(DECRandomTicker),30,2023,second,0.076642,90,DECRandomTicker,0.089751,0.013108999999999996
TMLP,mTMLP_dDEC_e(DECRandomTicker),30,2023,third,0.132071,90,DECRandomTicker,0.131428,0.0006430000000000047
TMLP,mTMLP_dDEC_e(DECRandomAll),3,2019,fourth,0.411594,90,DECRandomAll,0.412786,0.0011919999999999709
TMLP,mTMLP_dDEC_e(DECRandomAll),3,2019,second,0.98889,90,DECRandomAll,0.963418,0.02547200000000005
TMLP,mTMLP_dDEC_e(DECRandomAll),3,2019,third,0.654019,90,DECRandomAll,0.614749,0.03927000000000003
TMLP,mTMLP_dDEC_e(DECRandomAll),3,2020,first,0.869548,90,DECRandomAll,0.75921,0.11033799999999994
TMLP,mTMLP_dDEC_e(DECRandomAll),3,2020,fourth,0.62787,90,DECRandomAll,0.614855,0.013014999999999999
TMLP,mTMLP_dDEC_e(DECRandomAll),3,2020,second,0.639528,90,DECRandomAll,0.611774,0.027753999999999945
TMLP,mTMLP_dDEC_e(DECRandomAll),3,2020,third,0.792183,90,DECRandomAll,0.749214,0.042968999999999924
TMLP,mTMLP_dDEC_e(DECRandomAll),3,2021,first,0.406215,90,DECRandomAll,0.419539,0.013324000000000003
TMLP,mTMLP_dDEC_e(DECRandomAll),3,2021,fourth,0.566474,90,DECRandomAll,0.557926,0.008548
TMLP,mTMLP_dDEC_e(DECRandomAll),3,2021,second,0.500913,90,DECRandomAll,0.510786,0.00987299999999991
TMLP,mTMLP_dDEC_e(DECRandomAll),3,2021,third,0.597272,90,DECRandomAll,0.549228,0.048043999999999976
TMLP,mTMLP_dDEC_e(DECRandomAll),3,2022,first,0.634724,90,DECRandomAll,0.65193,0.017206000000000055
TMLP,mTMLP_dDEC_e(DECRandomAll),3,2022,fourth,0.694275,90,DECRandomAll,0.695542,0.0012670000000000181
TMLP,mTMLP_dDEC_e(DECRandomAll),3,2022,second,0.694478,90,DECRandomAll,0.767372,0.07289400000000001
TMLP,mTMLP_dDEC_e(DECRandomAll),3,2022,third,0.666605,90,DECRandomAll,0.682461,0.01585599999999998
TMLP,mTMLP_dDEC_e(DECRandomAll),3,2023,first,0.689376,90,DECRandomAll,0.748848,0.05947199999999997
TMLP,mTMLP_dDEC_e(DECRandomAll),3,2023,fourth,0.64654,90,DECRandomAll,0.605263,0.04127700000000001
TMLP,mTMLP_dDEC_e(DECRandomAll),3,2023,second,0.741255,90,DECRandomAll,0.734093,0.007162000000000002
TMLP,mTMLP_dDEC_e(DECRandomAll),3,2023,third,0.460937,90,DECRandomAll,0.45383,0.0071069999999999744
TMLP,mTMLP_dDEC_e(DECRandomAll),7,2019,fourth,0.24063,90,DECRandomAll,0.220819,0.019811000000000023
TMLP,mTMLP_dDEC_e(DECRandomAll),7,2019,second,0.304639,90,DECRandomAll,0.290248,0.014390999999999987
TMLP,mTMLP_dDEC_e(DECRandomAll),7,2019,third,0.348034,90,DECRandomAll,0.380292,0.03225800000000001
TMLP,mTMLP_dDEC_e(DECRandomAll),7,2020,first,0.554886,90,DECRandomAll,0.509111,0.04577500000000001
TMLP,mTMLP_dDEC_e(DECRandomAll),7,2020,fourth,0.339056,90,DECRandomAll,0.31401,0.025046000000000013
TMLP,mTMLP_dDEC_e(DECRandomAll),7,2020,second,0.372628,90,DECRandomAll,0.428101,0.055472999999999995
TMLP,mTMLP_dDEC_e(DECRandomAll),7,2020,third,0.318686,90,DECRandomAll,0.301783,0.016903
TMLP,mTMLP_dDEC_e(DECRandomAll),7,2021,first,0.202052,90,DECRandomAll,0.205653,0.003600999999999993
TMLP,mTMLP_dDEC_e(DECRandomAll),7,2021,fourth,0.263246,90,DECRandomAll,0.251298,0.011947999999999959
TMLP,mTMLP_dDEC_e(DECRandomAll),7,2021,second,0.26657,90,DECRandomAll,0.277061,0.010491000000000028
TMLP,mTMLP_dDEC_e(DECRandomAll),7,2021,third,0.46123,90,DECRandomAll,0.468231,0.007001000000000035
TMLP,mTMLP_dDEC_e(DECRandomAll),7,2022,first,0.331585,90,DECRandomAll,0.367561,0.03597600000000001
TMLP,mTMLP_dDEC_e(DECRandomAll),7,2022,fourth,0.298711,90,DECRandomAll,0.298735,2.399999999996849e-05
TMLP,mTMLP_dDEC_e(DECRandomAll),7,2022,second,0.350629,90,DECRandomAll,0.380706,0.030076999999999965
TMLP,mTMLP_dDEC_e(DECRandomAll),7,2022,third,0.31374,90,DECRandomAll,0.304895,0.008844999999999992
TMLP,mTMLP_dDEC_e(DECRandomAll),7,2023,first,0.251573,90,DECRandomAll,0.257466,0.005892999999999982
TMLP,mTMLP_dDEC_e(DECRandomAll),7,2023,fourth,0.248398,90,DECRandomAll,0.251486,0.0030879999999999797
TMLP,mTMLP_dDEC_e(DECRandomAll),7,2023,second,0.278939,90,DECRandomAll,0.310334,0.031395000000000006
TMLP,mTMLP_dDEC_e(DECRandomAll),7,2023,third,0.238503,90,DECRandomAll,0.246559,0.008056000000000008
TMLP,mTMLP_dDEC_e(DECRandomAll),15,2019,fourth,0.191024,90,DECRandomAll,0.172516,0.018507999999999997
TMLP,mTMLP_dDEC_e(DECRandomAll),15,2019,second,0.264975,90,DECRandomAll,0.202445,0.06253
TMLP,mTMLP_dDEC_e(DECRandomAll),15,2019,third,0.210381,90,DECRandomAll,0.344528,0.134147
TMLP,mTMLP_dDEC_e(DECRandomAll),15,2020,first,0.708934,90,DECRandomAll,0.660299,0.048634999999999984
TMLP,mTMLP_dDEC_e(DECRandomAll),15,2020,fourth,0.360023,90,DECRandomAll,0.314624,0.04539899999999997
TMLP,mTMLP_dDEC_e(DECRandomAll),15,2020,second,0.348376,90,DECRandomAll,0.382873,0.034497
TMLP,mTMLP_dDEC_e(DECRandomAll),15,2020,third,0.271208,90,DECRandomAll,0.242358,0.028850000000000015
TMLP,mTMLP_dDEC_e(DECRandomAll),15,2021,first,0.142615,90,DECRandomAll,0.127569,0.015046000000000004
TMLP,mTMLP_dDEC_e(DECRandomAll),15,2021,fourth,0.207333,90,DECRandomAll,0.203509,0.003823999999999994
TMLP,mTMLP_dDEC_e(DECRandomAll),15,2021,second,0.239848,90,DECRandomAll,0.198697,0.04115099999999999
TMLP,mTMLP_dDEC_e(DECRandomAll),15,2021,third,0.346625,90,DECRandomAll,0.382457,0.035831999999999975
TMLP,mTMLP_dDEC_e(DECRandomAll),15,2022,first,0.206621,90,DECRandomAll,0.215094,0.008473000000000008
TMLP,mTMLP_dDEC_e(DECRandomAll),15,2022,fourth,0.277569,90,DECRandomAll,0.238271,0.039298
TMLP,mTMLP_dDEC_e(DECRandomAll),15,2022,second,0.285317,90,DECRandomAll,0.269487,0.01583000000000001
TMLP,mTMLP_dDEC_e(DECRandomAll),15,2022,third,0.214911,90,DECRandomAll,0.20919,0.005721000000000004
TMLP,mTMLP_dDEC_e(DECRandomAll),15,2023,first,0.159376,90,DECRandomAll,0.170334,0.010958000000000023
TMLP,mTMLP_dDEC_e(DECRandomAll),15,2023,fourth,0.141317,90,DECRandomAll,0.145838,0.004520999999999997
TMLP,mTMLP_dDEC_e(DECRandomAll),15,2023,second,0.18547,90,DECRandomAll,0.2011,0.015630000000000005
TMLP,mTMLP_dDEC_e(DECRandomAll),15,2023,third,0.158266,90,DECRandomAll,0.171803,0.013537000000000021
TMLP,mTMLP_dDEC_e(DECRandomAll),30,2019,fourth,0.163214,90,DECRandomAll,0.153516,0.009697999999999984
TMLP,mTMLP_dDEC_e(DECRandomAll),30,2019,second,0.299089,90,DECRandomAll,0.283789,0.01529999999999998
TMLP,mTMLP_dDEC_e(DECRandomAll),30,2019,third,0.13951,90,DECRandomAll,0.215379,0.07586899999999999
TMLP,mTMLP_dDEC_e(DECRandomAll),30,2020,first,1.325947,90,DECRandomAll,1.252025,0.07392200000000004
TMLP,mTMLP_dDEC_e(DECRandomAll),30,2020,fourth,0.246785,90,DECRandomAll,0.22769,0.019095
TMLP,mTMLP_dDEC_e(DECRandomAll),30,2020,second,0.268025,90,DECRandomAll,0.287552,0.01952699999999996
TMLP,mTMLP_dDEC_e(DECRandomAll),30,2020,third,0.2142,90,DECRandomAll,0.223094,0.008893999999999985
TMLP,mTMLP_dDEC_e(DECRandomAll),30,2021,first,0.12612,90,DECRandomAll,0.121328,0.004792000000000005
TMLP,mTMLP_dDEC_e(DECRandomAll),30,2021,fourth,0.139821,90,DECRandomAll,0.13958,0.00024099999999999122
TMLP,mTMLP_dDEC_e(DECRandomAll),30,2021,second,0.273591,90,DECRandomAll,0.294022,0.020431000000000032
TMLP,mTMLP_dDEC_e(DECRandomAll),30,2021,third,0.305348,90,DECRandomAll,0.261912,0.04343600000000003
TMLP,mTMLP_dDEC_e(DECRandomAll),30,2022,first,0.145148,90,DECRandomAll,0.140534,0.004614000000000007
TMLP,mTMLP_dDEC_e(DECRandomAll),30,2022,fourth,0.166215,90,DECRandomAll,0.16747,0.0012550000000000061
TMLP,mTMLP_dDEC_e(DECRandomAll),30,2022,second,0.185686,90,DECRandomAll,0.190905,0.005219000000000001
TMLP,mTMLP_dDEC_e(DECRandomAll),30,2022,third,0.150707,90,DECRandomAll,0.144909,0.005797999999999998
TMLP,mTMLP_dDEC_e(DECRandomAll),30,2023,first,0.13712,90,DECRandomAll,0.133411,0.00370899999999999
TMLP,mTMLP_dDEC_e(DECRandomAll),30,2023,fourth,0.141775,90,DECRandomAll,0.136411,0.005364000000000008
TMLP,mTMLP_dDEC_e(DECRandomAll),30,2023,second,0.140319,90,DECRandomAll,0.14352,0.0032010000000000094
TMLP,mTMLP_dDEC_e(DECRandomAll),30,2023,third,0.157605,90,DECRandomAll,0.172594,0.014989000000000002
