model_id,window,year,quarter,mse,model,condition,n_test,persistence_mse
mTSMixer_dDEC_embargoed_seq22,7,2021,first,0.185648,TSMixer,embargoed,90,0.3470760243496927
mTSMixer_dDEC_embargoed_seq22,7,2021,fourth,0.217652,TSMixer,embargoed,90,0.5663953413876206
mTSMixer_dDEC_embargoed_seq22,7,2021,second,0.163624,TSMixer,embargoed,90,0.37344254218410267
mTSMixer_dDEC_embargoed_seq22,7,2021,third,0.277376,TSMixer,embargoed,90,0.3369607555820571
mTSMixer_dDEC_embargoed_seq22,7,2022,first,0.228901,TSMixer,embargoed,90,0.548650323899684
mTSMixer_dDEC_embargoed_seq22,7,2022,fourth,0.185718,TSMixer,embargoed,90,0.3560297982269342
mTSMixer_dDEC_embargoed_seq22,7,2022,second,0.190713,TSMixer,embargoed,90,0.3367537700792857
mTSMixer_dDEC_embargoed_seq22,7,2022,third,0.22208,TSMixer,embargoed,90,0.3094207280682193
mTSMixer_dDEC_embargoed_seq22,7,2023,first,0.185629,TSMixer,embargoed,90,0.3243820028270542
mTSMixer_dDEC_embargoed_seq22,7,2023,fourth,0.246876,TSMixer,embargoed,90,0.5166757604766669
mTSMixer_dDEC_embargoed_seq22,7,2023,second,0.265635,TSMixer,embargoed,90,0.5908572284973042
mTSMixer_dDEC_embargoed_seq22,7,2023,third,0.24275,TSMixer,embargoed,90,0.6351385446043305
mTSMixer_dDEC_embargoed_seq22,15,2019,fourth,0.152965,TSMixer,embargoed,90,0.2035969476534537
mTSMixer_dDEC_embargoed_seq22,15,2019,second,0.226809,TSMixer,embargoed,90,0.28195107849106404
mTSMixer_dDEC_embargoed_seq22,15,2019,third,0.444332,TSMixer,embargoed,90,0.41415919049313693
mTSMixer_dDEC_embargoed_seq22,15,2020,first,0.588605,TSMixer,embargoed,90,0.7323572993041872
mTSMixer_dDEC_embargoed_seq22,15,2020,fourth,0.214818,TSMixer,embargoed,90,0.311069034048732
mTSMixer_dDEC_embargoed_seq22,15,2020,second,0.402044,TSMixer,embargoed,90,0.1625990685306374
mTSMixer_dDEC_embargoed_seq22,15,2020,third,0.215448,TSMixer,embargoed,90,0.18890927090546236
mTSMixer_dDEC_embargoed_seq22,15,2021,first,0.108229,TSMixer,embargoed,90,0.12482779612106834
mTSMixer_dDEC_embargoed_seq22,15,2021,fourth,0.147185,TSMixer,embargoed,90,0.2639632621607499
mTSMixer_dDEC_embargoed_seq22,15,2021,second,0.102268,TSMixer,embargoed,90,0.20545626786568646
mTSMixer_dDEC_embargoed_seq22,15,2021,third,0.250432,TSMixer,embargoed,90,0.17653242628718055
mTSMixer_dDEC_embargoed_seq22,15,2022,first,0.136531,TSMixer,embargoed,90,0.21150227710712663
mTSMixer_dDEC_embargoed_seq22,15,2022,fourth,0.109405,TSMixer,embargoed,90,0.1386628771660814
mTSMixer_dDEC_embargoed_seq22,15,2022,second,0.149425,TSMixer,embargoed,90,0.22708036298926101
mTSMixer_dDEC_embargoed_seq22,15,2022,third,0.144073,TSMixer,embargoed,90,0.12276616201968478
mTSMixer_dDEC_embargoed_seq22,15,2023,first,0.108597,TSMixer,embargoed,90,0.15205787539724044
mTSMixer_dDEC_embargoed_seq22,15,2023,fourth,0.137688,TSMixer,embargoed,90,0.2353445238779783
mTSMixer_dDEC_embargoed_seq22,15,2023,second,0.138308,TSMixer,embargoed,90,0.2600910599785312
mTSMixer_dDEC_embargoed_seq22,15,2023,third,0.122393,TSMixer,embargoed,90,0.2713432557623908
mTSMixer_dDEC_embargoed_seq22,30,2019,fourth,0.147306,TSMixer,embargoed,90,0.1032625112791114
mTSMixer_dDEC_embargoed_seq22,30,2019,second,0.404563,TSMixer,embargoed,90,0.1367713157551333
mTSMixer_dDEC_embargoed_seq22,30,2019,third,0.087277,TSMixer,embargoed,90,0.21789131065063125
mTSMixer_dDEC_embargoed_seq22,30,2020,first,1.741187,TSMixer,embargoed,90,1.7959268411946903
mTSMixer_dDEC_embargoed_seq22,30,2020,fourth,0.143129,TSMixer,embargoed,90,0.16719513895358468
mTSMixer_dDEC_embargoed_seq22,30,2020,second,0.494686,TSMixer,embargoed,90,0.5472884845964865
mTSMixer_dDEC_embargoed_seq22,30,2020,third,0.244134,TSMixer,embargoed,90,0.1685215233554847
mTSMixer_dDEC_embargoed_seq22,30,2021,first,0.07294,TSMixer,embargoed,90,0.06734998201449217
mTSMixer_dDEC_embargoed_seq22,30,2021,fourth,0.082139,TSMixer,embargoed,90,0.1306413475657748
mTSMixer_dDEC_embargoed_seq22,30,2021,second,0.173978,TSMixer,embargoed,90,0.09043865561922519
mTSMixer_dDEC_embargoed_seq22,30,2021,third,0.140495,TSMixer,embargoed,90,0.091484088459318
mTSMixer_dDEC_embargoed_seq22,30,2022,first,0.08239,TSMixer,embargoed,90,0.14906484735029835
mTSMixer_dDEC_embargoed_seq22,30,2022,fourth,0.087805,TSMixer,embargoed,90,0.07572644037710957
mTSMixer_dDEC_embargoed_seq22,30,2022,second,0.072487,TSMixer,embargoed,90,0.13859116213656011
mTSMixer_dDEC_embargoed_seq22,30,2022,third,0.116228,TSMixer,embargoed,90,0.09065925020082874
mTSMixer_dDEC_embargoed_seq22,30,2023,first,0.068882,TSMixer,embargoed,90,0.07211955185170045
mTSMixer_dDEC_embargoed_seq22,30,2023,fourth,0.083053,TSMixer,embargoed,90,0.11956551213561015
mTSMixer_dDEC_embargoed_seq22,30,2023,second,0.082481,TSMixer,embargoed,90,0.12065490935985015
mTSMixer_dDEC_embargoed_seq22,30,2023,third,0.087693,TSMixer,embargoed,90,0.10554527714649053
mTSMixer_dDEC_ticker_disjoint_seq22,3,2019,fourth,0.574101,TSMixer,ticker_disjoint,30,1.3179592784587488
mTSMixer_dDEC_ticker_disjoint_seq22,3,2019,second,0.538132,TSMixer,ticker_disjoint,30,1.4806639110472422
mTSMixer_dDEC_ticker_disjoint_seq22,3,2019,third,0.786222,TSMixer,ticker_disjoint,30,0.9668723200362462
mTSMixer_dDEC_ticker_disjoint_seq22,3,2020,first,0.675602,TSMixer,ticker_disjoint,30,1.4944798286460526
mTSMixer_dDEC_ticker_disjoint_seq22,3,2020,fourth,0.384962,TSMixer,ticker_disjoint,30,0.7072395995662721
mTSMixer_dDEC_ticker_disjoint_seq22,3,2020,second,0.689447,TSMixer,ticker_disjoint,30,0.7148942952689467
mTSMixer_dDEC_ticker_disjoint_seq22,3,2020,third,0.566823,TSMixer,ticker_disjoint,30,0.9650316969652003
mTSMixer_dDEC_ticker_disjoint_seq22,3,2021,first,0.575824,TSMixer,ticker_disjoint,30,0.7548824372460615
mTSMixer_dDEC_ticker_disjoint_seq22,3,2021,fourth,0.603071,TSMixer,ticker_disjoint,30,1.541811529028785
mTSMixer_dDEC_ticker_disjoint_seq22,3,2021,second,0.313092,TSMixer,ticker_disjoint,30,1.0512802512314414
mTSMixer_dDEC_ticker_disjoint_seq22,3,2021,third,0.662337,TSMixer,ticker_disjoint,30,0.6254112740239446
mTSMixer_dDEC_ticker_disjoint_seq22,3,2022,first,0.517955,TSMixer,ticker_disjoint,30,1.9731555690512825
mTSMixer_dDEC_ticker_disjoint_seq22,3,2022,fourth,0.57902,TSMixer,ticker_disjoint,30,1.6961650283021223
mTSMixer_dDEC_ticker_disjoint_seq22,3,2022,second,0.5279,TSMixer,ticker_disjoint,30,0.9538814172099972
mTSMixer_dDEC_ticker_disjoint_seq22,3,2022,third,0.444539,TSMixer,ticker_disjoint,30,1.7013052165898617
mTSMixer_dDEC_ticker_disjoint_seq22,3,2023,first,0.576313,TSMixer,ticker_disjoint,30,1.1349663493928688
mTSMixer_dDEC_ticker_disjoint_seq22,3,2023,fourth,0.458079,TSMixer,ticker_disjoint,30,1.2950760241894101
mTSMixer_dDEC_ticker_disjoint_seq22,3,2023,second,0.494181,TSMixer,ticker_disjoint,30,1.2369327233222167
mTSMixer_dDEC_ticker_disjoint_seq22,3,2023,third,0.605445,TSMixer,ticker_disjoint,30,2.285860798085974
mTSMixer_dDEC_ticker_disjoint_seq22,7,2019,fourth,0.307587,TSMixer,ticker_disjoint,30,0.5400115786680731
mTSMixer_dDEC_ticker_disjoint_seq22,7,2019,second,0.43344,TSMixer,ticker_disjoint,30,0.6748498630285701
mTSMixer_dDEC_ticker_disjoint_seq22,7,2019,third,0.410144,TSMixer,ticker_disjoint,30,0.6103895030083084
mTSMixer_dDEC_ticker_disjoint_seq22,7,2020,first,0.305131,TSMixer,ticker_disjoint,30,0.7681119080822677
mTSMixer_dDEC_ticker_disjoint_seq22,7,2020,fourth,0.191676,TSMixer,ticker_disjoint,30,0.29678607016653025
mTSMixer_dDEC_ticker_disjoint_seq22,7,2020,second,0.430369,TSMixer,ticker_disjoint,30,0.15062125297111634
mTSMixer_dDEC_ticker_disjoint_seq22,7,2020,third,0.164332,TSMixer,ticker_disjoint,30,0.35562768076283546
mTSMixer_dDEC_ticker_disjoint_seq22,7,2021,first,0.197381,TSMixer,ticker_disjoint,30,0.3942596553811884
mTSMixer_dDEC_ticker_disjoint_seq22,7,2021,fourth,0.161534,TSMixer,ticker_disjoint,30,0.4123973474279537
mTSMixer_dDEC_ticker_disjoint_seq22,7,2021,second,0.204296,TSMixer,ticker_disjoint,30,0.49089080685776604
mTSMixer_dDEC_ticker_disjoint_seq22,7,2021,third,0.26158,TSMixer,ticker_disjoint,30,0.2884875034694485
mTSMixer_dDEC_ticker_disjoint_seq22,7,2022,first,0.291802,TSMixer,ticker_disjoint,30,0.692530126880572
mTSMixer_dDEC_ticker_disjoint_seq22,7,2022,fourth,0.217921,TSMixer,ticker_disjoint,30,0.36615134852501713
mTSMixer_dDEC_ticker_disjoint_seq22,7,2022,second,0.182013,TSMixer,ticker_disjoint,30,0.2855754932397928
mTSMixer_dDEC_ticker_disjoint_seq22,7,2022,third,0.225288,TSMixer,ticker_disjoint,30,0.36518258624028793
mTSMixer_dDEC_ticker_disjoint_seq22,7,2023,first,0.183705,TSMixer,ticker_disjoint,30,0.2201793139892941
mTSMixer_dDEC_ticker_disjoint_seq22,7,2023,fourth,0.179881,TSMixer,ticker_disjoint,30,0.4547926875906723
mTSMixer_dDEC_ticker_disjoint_seq22,7,2023,second,0.23085,TSMixer,ticker_disjoint,30,0.6542850093492766
mTSMixer_dDEC_ticker_disjoint_seq22,7,2023,third,0.254894,TSMixer,ticker_disjoint,30,0.6689528390125025
mTSMixer_dDEC_ticker_disjoint_seq22,15,2019,fourth,0.197906,TSMixer,ticker_disjoint,30,0.2142266773496366
mTSMixer_dDEC_ticker_disjoint_seq22,15,2019,second,0.259324,TSMixer,ticker_disjoint,30,0.31623039975930756
mTSMixer_dDEC_ticker_disjoint_seq22,15,2019,third,0.275727,TSMixer,ticker_disjoint,30,0.4523484850804927
mTSMixer_dDEC_ticker_disjoint_seq22,15,2020,first,0.616627,TSMixer,ticker_disjoint,30,0.8745154511434485
mTSMixer_dDEC_ticker_disjoint_seq22,15,2020,fourth,0.156709,TSMixer,ticker_disjoint,30,0.2621864385129644
mTSMixer_dDEC_ticker_disjoint_seq22,15,2020,second,0.571045,TSMixer,ticker_disjoint,30,0.15139211068835748
mTSMixer_dDEC_ticker_disjoint_seq22,15,2020,third,0.150472,TSMixer,ticker_disjoint,30,0.17415794682864758
mTSMixer_dDEC_ticker_disjoint_seq22,15,2021,first,0.052728,TSMixer,ticker_disjoint,30,0.1389772075194194
mTSMixer_dDEC_ticker_disjoint_seq22,15,2021,fourth,0.147107,TSMixer,ticker_disjoint,30,0.2556762031660132
mTSMixer_dDEC_ticker_disjoint_seq22,15,2021,second,0.111882,TSMixer,ticker_disjoint,30,0.2572689200058014
mTSMixer_dDEC_ticker_disjoint_seq22,15,2021,third,0.151133,TSMixer,ticker_disjoint,30,0.13082001862878542
mTSMixer_dDEC_ticker_disjoint_seq22,15,2022,first,0.184131,TSMixer,ticker_disjoint,30,0.28279927566617424
mTSMixer_dDEC_ticker_disjoint_seq22,15,2022,fourth,0.127191,TSMixer,ticker_disjoint,30,0.1400284037201774
mTSMixer_dDEC_ticker_disjoint_seq22,15,2022,second,0.141452,TSMixer,ticker_disjoint,30,0.181701778817477
mTSMixer_dDEC_ticker_disjoint_seq22,15,2022,third,0.13073,TSMixer,ticker_disjoint,30,0.1247893816212104
mTSMixer_dDEC_ticker_disjoint_seq22,15,2023,first,0.096222,TSMixer,ticker_disjoint,30,0.14438006250307814
mTSMixer_dDEC_ticker_disjoint_seq22,15,2023,fourth,0.103421,TSMixer,ticker_disjoint,30,0.16887369048218817
mTSMixer_dDEC_ticker_disjoint_seq22,15,2023,second,0.092689,TSMixer,ticker_disjoint,30,0.24820001107359452
mTSMixer_dDEC_ticker_disjoint_seq22,15,2023,third,0.1101,TSMixer,ticker_disjoint,30,0.2674855443820949
mTSMixer_dDEC_ticker_disjoint_seq22,30,2019,fourth,0.171537,TSMixer,ticker_disjoint,30,0.11162225938827307
mTSMixer_dDEC_ticker_disjoint_seq22,30,2019,second,0.238477,TSMixer,ticker_disjoint,30,0.12905125709845697
mTSMixer_dDEC_ticker_disjoint_seq22,30,2019,third,0.165306,TSMixer,ticker_disjoint,30,0.21526736264469004
mTSMixer_dDEC_ticker_disjoint_seq22,30,2020,first,1.817111,TSMixer,ticker_disjoint,30,1.906621441472145
mTSMixer_dDEC_ticker_disjoint_seq22,30,2020,fourth,0.116779,TSMixer,ticker_disjoint,30,0.15512960805872664
mTSMixer_dDEC_ticker_disjoint_seq22,30,2020,second,0.662592,TSMixer,ticker_disjoint,30,0.516878335555162
mTSMixer_dDEC_ticker_disjoint_seq22,30,2020,third,0.219911,TSMixer,ticker_disjoint,30,0.13590706480089967
mTSMixer_dDEC_ticker_disjoint_seq22,30,2021,first,0.058985,TSMixer,ticker_disjoint,30,0.058437683952021584
mTSMixer_dDEC_ticker_disjoint_seq22,30,2021,fourth,0.083678,TSMixer,ticker_disjoint,30,0.1085748082063803
mTSMixer_dDEC_ticker_disjoint_seq22,30,2021,second,0.1225,TSMixer,ticker_disjoint,30,0.08299174547885278
mTSMixer_dDEC_ticker_disjoint_seq22,30,2021,third,0.092668,TSMixer,ticker_disjoint,30,0.06399103550486783
mTSMixer_dDEC_ticker_disjoint_seq22,30,2022,first,0.137751,TSMixer,ticker_disjoint,30,0.1738769920021075
mTSMixer_dDEC_ticker_disjoint_seq22,30,2022,fourth,0.083051,TSMixer,ticker_disjoint,30,0.07605074043079749
mTSMixer_dDEC_ticker_disjoint_seq22,30,2022,second,0.060007,TSMixer,ticker_disjoint,30,0.09393979123191305
mTSMixer_dDEC_ticker_disjoint_seq22,30,2022,third,0.104922,TSMixer,ticker_disjoint,30,0.07961684771851882
mTSMixer_dDEC_ticker_disjoint_seq22,30,2023,first,0.084137,TSMixer,ticker_disjoint,30,0.07984466850106227
mTSMixer_dDEC_ticker_disjoint_seq22,30,2023,fourth,0.060361,TSMixer,ticker_disjoint,30,0.06937850615114807
mTSMixer_dDEC_ticker_disjoint_seq22,30,2023,second,0.073812,TSMixer,ticker_disjoint,30,0.09375872104243058
mTSMixer_dDEC_ticker_disjoint_seq22,30,2023,third,0.067526,TSMixer,ticker_disjoint,30,0.09894507191523247
