dataset,split,target,horizon,model,segment,n,mse,mae,r2_oos,spearman_q,seed_std,dm_p_vs_persistence,dm_p_vs_stage1,dm_p_vs_stage2,dm_p_vs_stage3
fincall,combined,v,15,stack_fusion_pastvol,test,92,0.2902330605639627,0.4343768364185183,-0.5949757281997397,0.136125430208381,,0.01404025301731672,0.21042707336452335,0.00536479487187816,0.0553689468994483
fincall,combined,v,15,stack_fusion_pastvol,val,21,0.08133564419504835,0.19527913421478396,0.6923158919540638,0.5684210526315789,,0.017099146356646017,0.014414522537143037,0.35648394510693465,0.12293200953409412
fincall,combined,v,30,gated_fusion,test,92,0.961151049057312,0.7504567792464362,-7.9764421004771116,0.06970722953428196,0.16064276495459381,2.1962882229342302e-05,9.626561289154531e-05,0.00014112910598824431,8.817691776033494e-05
fincall,combined,v,30,gated_fusion,val,21,0.6226686177062055,0.658552374161494,-8.183526896169889,0.12932330827067667,0.16064276495459381,0.002172079188828424,0.009577866683589913,0.0057790545729556825,0.007092962182451293
fincall,combined,v,30,gated_fusion_pastvol,test,92,0.8284210698821832,0.7079998372919016,-6.736841962463808,0.11567038793738912,0.14973906178664845,4.766527779554265e-06,2.9540959325637868e-05,8.261421636888023e-05,3.0193786971400756e-05
fincall,combined,v,30,gated_fusion_pastvol,val,21,0.6692570890060813,0.6606385880539039,-8.87064435651333,0.10225563909774435,0.14973906178664845,0.0029886093750352565,0.008809244399799307,0.005856061732102376,0.00818642558975881
fincall,combined,v,30,stack_fusion,test,92,0.16955348792610006,0.33127894998434965,-0.5835045582016822,0.2887628554143981,,0.007972893555862653,0.20012308921237204,0.014707829196124152,0.3073433838107267
fincall,combined,v,30,stack_fusion,val,21,0.09486093303667281,0.20678222604057264,-0.39907152081509767,0.37744360902255636,,0.5488225635095519,0.04378929457348607,0.19161954484583027,0.027644694427021322
fincall,combined,v,30,stack_fusion_pastvol,test,92,0.16955348792610006,0.33127894998434965,-0.5835045582016822,0.2887628554143981,,0.007972893555862653,0.20012308921237204,0.014707829196124152,0.3073433838107267
fincall,combined,v,30,stack_fusion_pastvol,val,21,0.09486093303667281,0.20678222604057264,-0.39907152081509767,0.37744360902255636,,0.5488225635095519,0.04378929457348607,0.19161954484583027,0.027644694427021322
fincall,temporal,dv,3,gated_fusion,test,481,1.2349675847859902,0.8625092426985618,-0.05167199619165186,0.1537878651766288,0.12230032755024689,0.13417372952413292,4.161161664692739e-09,0.3998068689927032,0.10746637818700029
fincall,temporal,dv,3,gated_fusion,val,228,1.4244963351623596,0.950106247905818,-0.11673334953139847,-0.12509173746983204,0.12230032755024689,0.028865340519202344,3.6652824220419605e-07,1.0034332051337428e-07,2.8082398097154555e-07
