dataset,split,target,horizon,model,segment,n,mse,mae,r2_oos,spearman_q,seed_std,dm_p_vs_persistence,dm_p_vs_har,dm_p_vs_stage1,dm_p_vs_stage2
fincall,temporal,har_resid,3,ridge_wavlm_audio_pastvol,val,228,0.45853725344465707,0.551499511646807,0.02080936529545252,0.02794016436176976,,0.3568449084974787,0.3568449084974787,0.00022907065399118396,0.3775659772252503
fincall,temporal,har_resid,3,ridge_wavlm_egemaps_audio,test,481,0.6240837990085334,0.6121322728990153,0.008644645638947401,0.1478590399424492,,0.5950339789895416,0.5950339789895416,1.2705260600360679e-05,0.13380790441642224
fincall,temporal,har_resid,3,ridge_wavlm_egemaps_audio,val,228,0.46287903459710933,0.5527706844711169,0.011537640020177653,0.03871784213119545,,0.6371621978614654,0.6371621978614654,0.00032228158250192425,0.5197950798497224
fincall,temporal,har_resid,3,ridge_wavlm_egemaps_audio_pastvol,test,481,0.6305296212514266,0.6146905174651787,-0.0015945248120456945,0.1349905465984253,,0.931140619825635,0.931140619825635,5.15146350687044e-05,0.023581990886678873
fincall,temporal,har_resid,3,ridge_wavlm_egemaps_audio_pastvol,val,228,0.4625282221607668,0.5526398169766892,0.012286787989342574,0.03913580376446092,,0.6153682071808031,0.6153682071808031,0.0002989126496247728,0.5092501150892617
fincall,temporal,har_resid,3,ridge_wavlm_text_audio_pastvol,test,481,0.5980619351451458,0.5967742755713894,0.04998030298561573,0.2433017207965814,,0.0758918076113266,0.0758918076113266,2.613362377229944e-06,0.9359806020073629
fincall,temporal,har_resid,3,ridge_wavlm_text_audio_pastvol,val,228,0.47102446612596394,0.5667874184920186,-0.00585665064816876,-0.0754078546276596,,0.8926410174763462,0.8926410174763462,0.004687484488793441,0.6041070620084433
fincall,temporal,har_resid,7,mlp_egemaps_audio,test,481,0.29843616595962225,0.42685290814938215,-0.20754226400106934,0.00520714351979875,0.1348438061732708,0.020362391305130387,0.020362391305130387,0.8416874583477667,0.001266181171895089
fincall,temporal,har_resid,7,mlp_egemaps_audio,val,228,0.2421026245000722,0.3839875771561845,-0.2351423354798845,-0.3000067990690647,0.1348438061732708,0.009862071681751036,0.009862071681751036,0.5251820663798743,0.008906217598031245
fincall,temporal,har_resid,7,mlp_egemaps_audio_pastvol,test,481,0.874578700348285,0.46497903476432023,-2.538749201089012,0.057851255624718316,0.8447630222054187,0.21929331660578805,0.21929331660578805,0.2638172693352721,0.19887993350829258
fincall,temporal,har_resid,7,mlp_egemaps_audio_pastvol,val,228,0.40191047800384117,0.40449572383221355,-1.0504389305178847,-0.16239545234293926,0.8447630222054187,0.2121477623416496,0.2121477623416496,0.3721768019855082,0.20582591863459032
fincall,temporal,har_resid,7,mlp_emotion2vec_audio,test,481,0.3294387687797931,0.4540253474597943,-0.3329860187116167,0.0901056647639874,0.02582751869690623,3.991549801886471e-06,3.991549801886471e-06,0.2310055344001991,2.1882474503592622e-08
